"Player","Squad","Nation","Pos","Pos2","Age","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Luis Abram","Granada","PER","DF",NA,25,6,3,50,4,4,50,6,5,1,5,37,1
"Marcos Acuña","Sevilla","ARG","DF",NA,29,50,29,58,46,46,65.2,22,5,17,14,25,1
"Martin Agirregabiria","Alavés","ESP","DF",NA,25,34,22,64.7058823529412,37,37,48.6,20,3,17,25,38,0
"Sergio Agüero","Barcelona","ARG","FW",NA,33,1,1,100,2,2,0,0,0,0,0,0,0
"Joseph Aidoo","Celta Vigo","GHA","DF",NA,25,39,26,66.6666666666667,31,31,54.8,23,13,10,38,96,3
"Carlos Akapo","Cádiz","EQG","DF",NA,28,43,31,72.093023255814,37,37,56.8,26,7,19,51,61,0
"Paul Akouokou","Betis","CIV","MF",NA,23,14,9,64.2857142857143,12,12,66.7,6,0,6,11,6,0
"David Alaba","Real Madrid","AUT","DF",NA,29,23,13,56.5217391304348,19,19,47.4,26,15,11,22,70,1
"Tomás Alarcón","Cádiz","CHI","MF",NA,22,31,20,64.5161290322581,31,31,32.3,19,7,12,30,31,0
"Jordi Alba","Barcelona","ESP","DF",NA,32,47,34,72.3404255319149,47,47,57.4,26,6,20,33,41,1
"Raúl Albiol","Villarreal","ESP","DF",NA,35,26,15,57.6923076923077,18,18,77.8,24,15,9,21,126,1
"Paco Alcácer","Villarreal","ESP","FW",NA,27,9,3,33.3333333333333,5,5,20,7,0,7,6,1,0
"Rubén Alcaraz","Cádiz","ESP","MF",NA,30,41,20,48.780487804878,45,45,48.9,10,2,8,13,14,0
"Omar Alderete","Valencia","PAR","DF",NA,24,53,34,64.1509433962264,53,53,64.2,30,18,12,35,153,0
"Iván Alejo","Cádiz","ESP","MF","FW",26,33,15,45.4545454545455,44,44,34.1,12,0,12,8,17,0
"Carles Aleñá","Getafe","ESP","MF",NA,23,27,19,70.3703703703704,48,48,18.8,21,2,19,15,16,0
"Yeray Álvarez","Athletic Club","ESP","DF",NA,26,24,14,58.3333333333333,18,18,55.6,21,16,5,45,97,0
"Dani Alves","Barcelona","BRA","DF",NA,38,30,19,63.3333333333333,26,26,53.8,10,3,7,11,10,2
"Emmanuel Amankwaa Akurugu","Getafe","GHA","DF",NA,19,0,0,NA,2,2,0,1,0,1,0,0,0
"Amath","Mallorca","SEN","FW","MF",25,21,11,52.3809523809524,17,17,41.2,12,0,12,7,7,0
"Florin Andone","Cádiz","ROU","FW",NA,28,1,1,100,1,1,0,2,0,2,0,1,0
"Marcos André","Valencia","BRA","FW","MF",24,15,11,73.3333333333333,16,16,31.3,15,0,15,7,13,0
"José Ángel","Osasuna","ESP","DF",NA,31,20,13,65,14,14,64.3,6,1,5,10,21,0
"Mauro Arambarri","Getafe","URU","MF",NA,25,62,37,59.6774193548387,68,68,29.4,35,5,30,32,18,0
"Néstor Araujo","Celta Vigo","MEX","DF",NA,29,22,14,63.6363636363636,21,21,42.9,17,10,7,27,105,2
"Ronald Araújo","Barcelona","URU","DF",NA,22,41,23,56.0975609756098,25,25,84,37,20,17,23,66,1
"Jesús Areso","Osasuna","ESP","DF",NA,22,3,3,100,2,2,0,0,0,0,0,2,1
"Matias Arezo","Granada","URU","FW","MF",18,5,3,60,9,9,44.4,1,0,1,1,1,0
"Santiago Arias","Granada","COL","DF",NA,29,12,5,41.6666666666667,9,9,44.4,8,4,4,5,10,0
"Santiago Arzamendia","Cádiz","PAR","MF",NA,23,14,6,42.8571428571429,13,13,46.2,6,0,6,4,7,0
"Sergio Asenjo","Villarreal","ESP","GK",NA,32,0,0,NA,1,1,0,0,0,0,1,6,0
