"Squad","Rank","Wins","Draws","Losses","Pts","Home_Wins","Away_Wins","Home_Draws","Away_Draws","Home_Losses","Away_Losses","Home_Pts","Away_Pts"
"Juventus",1,26,5,7,83,16,10,2,3,1,6,50,33
"Inter",2,24,10,4,82,11,13,6,4,2,2,39,43
"Atalanta",3,23,9,6,78,12,11,2,7,5,1,38,40
"Lazio",4,24,6,8,78,14,10,3,3,2,6,45,33
"Roma",5,21,7,10,70,10,11,4,3,5,5,34,36
"Milan",6,19,9,10,66,9,10,6,3,4,6,33,33
"Napoli",7,18,8,12,62,10,8,3,5,6,6,33,29
"Sassuolo",8,14,9,15,51,8,6,3,6,8,7,27,24
"Hellas Verona",9,12,13,13,49,9,3,5,8,5,8,32,17
"Fiorentina",10,12,13,13,49,5,7,8,5,6,7,23,26
"Parma",11,14,7,17,49,7,7,2,5,10,7,23,26
"Bologna",12,12,11,15,47,5,7,8,3,6,9,23,24
"Udinese",13,12,9,17,45,6,6,6,3,7,10,24,21
"Cagliari",14,11,12,15,45,7,4,4,8,8,7,25,20
"Sampdoria",15,12,6,20,42,6,6,4,2,9,11,22,20
"Torino",16,11,7,20,40,7,4,4,3,8,12,25,15
"Genoa",17,10,9,19,39,7,3,1,8,11,8,22,17
"Lecce",18,9,8,21,35,4,5,5,3,10,11,17,18
"Brescia",19,6,7,25,25,3,3,5,2,11,14,14,11
"SPAL",20,5,5,28,20,2,3,4,1,13,15,10,10
