"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Atalanta",80,2,1,3,534
"Bologna",109,7,3,10,595
"Brescia",95,6,3,9,504
"Cagliari",108,6,3,9,534
"Fiorentina",105,5,3,8,546
"Genoa",107,10,5,15,571
"Hellas Verona",87,7,2,9,555
"Inter",104,6,3,9,563
"Juventus",87,3,2,5,508
"Lazio",99,2,1,3,462
"Lecce",98,5,2,7,469
"Milan",97,6,2,8,545
"Napoli",73,2,0,2,421
"Parma",81,1,0,1,519
"Roma",111,7,4,11,541
"Sampdoria",111,7,5,12,563
"Sassuolo",99,3,1,4,498
"SPAL",98,4,1,5,541
"Torino",96,7,5,12,606
"Udinese",77,3,2,5,506
