"Squad","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Atalanta",98,167,65.7,3,7.9,2,22.2
"Bologna",52,117,71.5,8,21.1,0,0
"Brescia",35,108,78.2,12,31.6,0,0
"Cagliari",52,90,66,11,28.9,1,20
"Fiorentina",51,131,76.8,9,23.7,2,18.2
"Genoa",47,105,76.9,10,26.3,5,31.3
"Hellas Verona",47,109,74.7,9,23.7,0,0
"Inter",81,146,68.7,3,7.9,1,9.1
"Juventus",76,164,73.4,2,5.3,0,0
"Lazio",79,142,71,4,10.5,2,11.8
"Lecce",52,124,77,10,26.3,2,15.4
"Milan",63,134,71.8,6,15.8,1,11.1
"Napoli",61,170,75.7,7,18.4,0,0
"Parma",56,96,65.6,8,21.1,2,33.3
"Roma",77,137,69.3,7,18.4,2,14.3
"Sampdoria",48,122,77.3,10,26.3,2,18.2
"Sassuolo",69,127,67.3,7,18.4,0,0
"SPAL",27,95,82.3,16,42.1,2,28.6
"Torino",46,107,74.3,10,26.3,1,12.5
"Udinese",37,104,73.8,13,34.2,0,NA
