"Squad","Goalkeepers_Used","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Atalanta",3,48,94,69.8,10,26.3,0,0
"Bologna",2,65,124,68.8,2,5.3,1,14.3
"Brescia",3,79,159,70.3,6,15.8,1,10
"Cagliari",3,56,141,74.9,7,18.4,1,12.5
"Fiorentina",3,48,112,75.9,11,28.9,2,18.2
"Genoa",2,73,130,67.2,7,18.4,0,0
"Hellas Verona",2,51,124,75.9,10,26.3,0,0
"Inter",2,36,82,72,14,36.8,1,25
"Juventus",3,43,118,79,12,31.6,1,10
"Lazio",1,42,112,77.3,11,28.9,1,12.5
"Lecce",2,85,172,71.1,3,7.9,2,15.4
"Milan",3,46,104,73.4,12,31.6,5,50
"Napoli",2,50,88,68.8,7,18.4,1,12.5
"Parma",2,57,152,76.4,6,15.8,3,30
"Roma",3,51,106,73.4,7,18.4,1,10
"Sampdoria",2,65,117,68,9,23.7,0,0
"Sassuolo",3,63,124,70.1,7,18.4,1,11.1
"SPAL",3,77,153,69.3,3,7.9,1,12.5
"Torino",3,68,142,72.1,7,18.4,1,9.1
"Udinese",1,51,141,77.8,14,36.8,2,20
