"Squad","Player_Count","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Atalanta",30,978,1867,17945,21860,82.1,8671,9684,89.5,1732,2818,61.5,6817,7927,86,19949,1861,577,40,163,767,715,248,50,57.2,26093,616,347,56.3,267,43.3
"Bologna",31,799,1672,14608,18465,79.1,6955,7886,88.2,1377,2513,54.8,5859,6959,84.2,16401,1979,618,28,134,733,736,228,85,52.6,22738,628,349,55.6,278,44.3
"Brescia",32,537,1241,10833,14648,74,4731,5583,84.7,1347,2595,51.9,4291,5316,80.7,12511,2069,644,22,160,641,784,160,68,40.6,18739,450,275,61.1,175,38.9
"Cagliari",33,662,1288,13131,16868,77.8,5524,6270,88.1,1629,2973,54.8,5722,6815,84,14891,1921,562,24,167,762,749,154,56,45.7,21020,538,324,60.2,214,39.8
"Fiorentina",33,857,1446,13589,17172,79.1,5835,6615,88.2,1535,2737,56.1,5843,6843,85.4,15265,1857,576,41,173,726,705,209,50,47.4,21343,670,428,63.9,242,36.1
"Genoa",34,583,1280,14305,18157,78.8,6586,7416,88.8,1490,2775,53.7,5724,6778,84.4,16145,1955,555,13,142,723,782,166,57,49.5,22193,565,335,59.3,230,40.7
"Hellas Verona",30,728,1575,13348,17641,75.7,5993,6965,86,1411,2861,49.3,5423,6571,82.5,15621,1929,555,29,94,750,734,207,91,49.8,21661,546,328,60.1,217,39.7
"Inter",29,797,1820,17232,20842,82.7,7232,8059,89.7,1989,2948,67.5,7508,8587,87.4,18974,1772,469,20,243,790,704,235,96,54.2,24766,498,311,62.4,187,37.6
"Juventus",30,879,1746,20149,23408,86.1,9684,10473,92.5,1816,2715,66.9,7782,8664,89.8,21548,1787,509,54,209,698,713,235,73,58.1,27421,689,434,63,254,36.9
"Lazio",27,935,1668,15875,19415,81.8,7130,8009,89,1924,2976,64.7,6201,7132,86.9,17695,1649,449,63,186,741,610,218,71,50.4,23332,580,360,62.1,217,37.4
"Lecce",30,752,1356,13640,17104,79.7,5858,6659,88,1798,2925,61.5,5711,6659,85.8,15195,1842,563,16,208,711,600,182,67,44.8,21113,464,296,63.8,168,36.2
"Milan",32,816,1717,17070,20701,82.5,8007,8954,89.4,1657,2775,59.7,6904,7872,87.7,18774,1864,548,41,178,713,746,208,63,54.9,24800,656,402,61.3,254,38.7
"Napoli",25,979,2024,21173,24596,86.1,11037,11917,92.6,1658,2522,65.7,7649,8622,88.7,22677,1865,604,36,187,813,712,222,54,59.2,28084,587,362,61.7,225,38.3
"Parma",25,673,1227,12193,15756,77.4,4947,5720,86.5,1912,3155,60.6,4989,5959,83.7,13796,1900,524,19,204,597,735,166,60,43.8,20080,564,326,57.8,235,41.7
"Roma",31,944,1651,15972,19325,82.6,6509,7265,89.6,2006,3078,65.2,7241,8199,88.3,17490,1790,522,57,213,781,664,267,45,52.7,23255,671,417,62.1,253,37.7
"Sampdoria",31,613,1369,11918,15949,74.7,5325,6195,86,1364,2726,50,4861,6016,80.8,13988,1898,556,28,120,814,735,195,63,42.7,20099,507,307,60.6,200,39.4
"Sassuolo",31,902,1590,18601,21873,85,9815,10667,92,1294,2223,58.2,7058,7896,89.4,19942,1867,621,46,117,562,677,207,64,57.5,25903,757,468,61.8,288,38
"SPAL",34,696,1236,13281,16878,78.7,6176,6950,88.9,1489,2773,53.7,5308,6326,83.9,14912,1913,596,12,130,693,691,158,53,46.9,20738,519,357,68.8,162,31.2
"Torino",27,843,1220,12572,16330,77,5436,6295,86.4,1728,3026,57.1,5089,6068,83.9,14310,1957,611,14,182,756,706,180,63,47.4,20846,715,449,62.8,266,37.2
"Udinese",25,709,1274,13373,16971,78.8,6100,6891,88.5,1478,2657,55.6,5340,6354,84,15127,1779,470,19,151,730,664,200,65,44.7,21128,550,350,63.6,199,36.2
