"Squad","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Atalanta",597,1072,12397,16331,75.9,5700,6512,87.5,1503,2875,52.3,4782,5854,81.7,14347,1925,547,39,109,468,743,121,59,42.8,20655,644,380,59,263,40.8
"Bologna",767,1433,12886,16783,76.8,5892,6843,86.1,1464,2703,54.2,5127,6150,83.4,14633,2093,644,27,154,664,818,185,57,47.4,21077,619,393,63.5,226,36.5
"Brescia",900,1865,18024,21731,82.9,8411,9278,90.7,1900,3002,63.3,7176,8264,86.8,19785,1885,533,48,225,891,764,242,61,59.4,25788,559,333,59.6,225,40.3
"Cagliari",850,1740,16537,20192,81.9,7340,8200,89.5,1922,3033,63.4,6737,7717,87.3,18195,1907,539,22,209,867,732,236,90,54.3,24283,619,388,62.7,231,37.3
"Fiorentina",826,1497,15326,19046,80.5,6970,7807,89.3,1573,2766,56.9,6356,7378,86.1,17110,1855,551,54,128,705,705,185,81,52.6,22998,628,415,66.1,212,33.8
"Genoa",859,1623,14984,18722,80,6812,7698,88.5,1597,2739,58.3,6080,7167,84.8,16842,1828,588,28,138,761,714,192,52,50.5,22858,590,377,63.9,212,35.9
"Hellas Verona",781,1450,13629,17787,76.6,6298,7317,86.1,1476,2836,52,5416,6591,82.2,15785,1955,615,19,115,719,752,194,47,50.2,21900,464,260,56,203,43.8
"Inter",779,1323,14365,17809,80.7,6689,7455,89.7,1662,2769,60,5580,6591,84.7,15956,1823,627,19,194,720,608,167,30,45.8,21958,576,379,65.8,196,34
"Juventus",559,1197,13534,16896,80.1,6235,6987,89.2,1602,2737,58.5,5291,6173,85.7,14994,1850,547,23,243,613,673,184,52,41.9,20889,582,358,61.5,224,38.5
"Lazio",811,1463,15858,19233,82.5,7415,8269,89.7,1659,2687,61.7,6314,7224,87.4,17465,1723,493,19,173,615,624,173,45,49.6,23277,613,388,63.3,222,36.2
"Lecce",976,1860,17729,21240,83.5,8246,9061,91,1759,2847,61.8,7157,8148,87.8,19394,1775,502,52,188,874,637,275,71,55.2,25202,629,394,62.6,235,37.4
"Milan",677,1352,13233,16945,78.1,5981,6798,88,1513,2703,56,5268,6276,83.9,15010,1845,576,20,188,649,664,179,90,45.1,21161,620,386,62.3,233,37.6
"Napoli",597,1156,13614,16890,80.6,6217,6934,89.7,1378,2492,55.3,5568,6413,86.8,15155,1666,452,26,120,538,616,148,69,40.8,20771,540,334,61.9,206,38.1
"Parma",1018,1929,16942,20518,82.6,7911,8849,89.4,1773,2784,63.7,6766,7755,87.2,18532,1936,538,20,181,901,784,227,50,56.2,24705,708,426,60.2,281,39.7
"Roma",627,1186,14005,17495,80.1,6239,6962,89.6,1508,2731,55.2,5877,6804,86.4,15541,1855,555,33,160,609,682,173,99,47.3,21351,503,306,60.8,196,39
"Sampdoria",815,1723,17462,21460,81.4,7898,8787,89.9,1734,2987,58.1,7328,8434,86.9,19425,1938,579,32,176,842,732,220,97,57.3,25510,605,375,62,230,38
"Sassuolo",654,1363,12820,16147,79.4,5702,6441,88.5,1386,2429,57.1,5361,6260,85.6,14252,1824,525,27,146,728,677,213,71,42.5,20178,558,307,55,249,44.6
"SPAL",885,1709,15695,19334,81.2,7142,7999,89.3,1717,2888,59.5,6347,7409,85.7,17362,1896,548,39,187,789,747,242,76,53.1,23179,571,349,61.1,222,38.9
"Torino",850,1534,14163,18163,78,6493,7467,87,1629,2781,58.6,5577,6715,83.1,16041,2056,634,43,158,811,801,256,66,52.6,22360,549,337,61.4,212,38.6
"Udinese",854,1792,17605,21237,82.9,7960,8809,90.4,1879,2982,63,7212,8240,87.5,19387,1819,536,32,169,737,689,233,31,55.3,25252,593,340,57.3,253,42.7
