"Squad","Total_Goals_Scored","Total_Goals_Conceded","Goal_Difference","Home_Goals_Scored","Home_Goals_Conceded","Home_Goal_Difference","Away_Goals_Scored","Away_Goals_Conceded","Away_Goal_Difference","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Atalanta",98,48,50,51,26,25,47,22,25,68,164,10,7,700,256,36.6,0.13,0.35,17.3,31,1242,938,304,170,120,50
"Bologna",52,65,-13,25,29,-4,27,36,-9,31,79,6,5,549,160,29.1,0.08,0.27,18.8,29,967,726,241,85,54,31
"Brescia",35,79,-44,21,34,-13,14,45,-31,22,56,4,4,414,138,33.3,0.07,0.22,17.9,32,725,482,243,58,36,22
"Cagliari",52,56,-4,32,28,4,20,28,-8,34,84,6,4,438,136,31.1,0.11,0.34,19.5,16,771,574,197,82,61,21
"Fiorentina",51,48,3,22,22,0,29,26,3,30,78,11,9,538,170,31.6,0.07,0.23,18.2,23,970,676,294,83,48,35
"Genoa",47,73,-26,24,31,-7,23,42,-19,28,74,16,11,420,140,33.3,0.08,0.25,19.2,24,754,540,214,80,53,27
"Hellas Verona",47,51,-4,29,25,4,18,26,-8,27,72,9,8,435,146,33.6,0.09,0.25,17.4,12,766,562,204,77,51,26
"Inter",81,36,45,40,17,23,41,19,22,57,137,11,10,607,216,35.6,0.12,0.32,17.6,22,1078,786,292,137,98,39
"Juventus",76,43,33,46,17,29,30,26,4,47,120,14,13,665,224,33.7,0.09,0.27,19,40,1209,901,308,125,82,43
"Lazio",79,42,37,46,17,29,33,25,8,45,122,18,15,562,204,36.3,0.11,0.3,18.2,21,1038,770,268,135,98,37
"Lecce",52,85,-33,30,41,-11,22,44,-22,30,82,15,11,513,165,32.2,0.08,0.25,19.6,19,935,711,224,93,55,38
"Milan",63,46,17,31,20,11,32,26,6,38,98,9,8,610,186,30.5,0.09,0.28,19,24,1089,817,272,102,67,35
"Napoli",61,50,11,31,24,7,30,26,4,45,105,5,5,683,225,32.9,0.08,0.24,19,17,1242,982,260,103,71,32
"Parma",56,57,-1,26,24,2,30,33,-3,38,91,6,4,458,145,31.7,0.11,0.34,19,23,808,587,221,95,66,29
"Roma",77,51,26,36,27,9,41,24,17,47,120,14,12,630,198,31.4,0.1,0.31,18.7,35,1133,801,332,128,90,38
"Sampdoria",48,65,-17,25,30,-5,23,35,-12,25,73,12,9,549,161,29.3,0.07,0.24,19.4,25,972,693,279,80,53,27
"Sassuolo",69,63,6,44,33,11,25,30,-5,49,118,6,5,547,191,34.9,0.12,0.34,19.8,32,968,721,247,116,82,34
"SPAL",27,77,-50,16,40,-24,11,37,-26,17,44,7,5,462,117,25.3,0.05,0.19,19.4,23,822,579,243,45,25,20
"Torino",46,68,-22,23,30,-7,23,38,-15,29,73,8,7,438,144,32.9,0.08,0.26,18.4,21,786,542,244,73,44,29
"Udinese",37,51,-14,18,23,-5,19,28,-9,26,63,0,0,469,141,30.1,0.08,0.26,18.5,12,826,628,198,61,43,18
