"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Atalanta",106,7,5,12,557
"Bologna",104,7,5,12,602
"Brescia",106,2,2,4,618
"Cagliari",76,6,0,6,501
"Fiorentina",95,3,2,5,533
"Genoa",96,8,4,12,546
"Hellas Verona",105,8,4,12,533
"Inter",90,4,0,4,475
"Juventus",113,8,5,13,517
"Lazio",96,7,2,9,451
"Lecce",86,5,2,7,529
"Milan",94,8,1,9,497
"Napoli",105,2,2,4,558
"Parma",89,3,2,5,506
"Roma",92,1,0,1,478
"Sampdoria",86,8,6,14,496
"Sassuolo",118,4,3,7,595
"SPAL",75,1,1,2,555
"Torino",110,2,1,3,577
"Udinese",80,5,1,6,457
