"Player","Squad","Nation","Pos","Pos2","Age","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Tammy Abraham","Roma","ENG","FW",NA,23,27,13,48.1481481481481,22,22,40.9,17,3,14,5,27,0
"Francesco Acerbi","Lazio","ITA","DF",NA,33,25,12,48,19,19,63.2,37,28,9,34,92,0
"Michel Aebischer","Bologna","SUI","MF",NA,24,14,5,35.7142857142857,11,11,54.5,4,1,3,6,3,0
"Felix Afena-Gyan","Roma","GHA","FW","MF",18,10,3,30,7,7,57.1,4,0,4,3,0,0
"Kevin Agudelo","Spezia","COL","MF","FW",22,44,26,59.0909090909091,20,20,35,22,0,22,8,6,0
"Ola Aina","Torino","NGA","DF",NA,24,27,19,70.3703703703704,23,23,65.2,17,3,14,28,30,0
"Marley Aké","Juventus","FRA","FW","MF",20,0,0,NA,2,2,0,0,0,0,1,0,0
"Jean-Daniel Akpa-Akpro","Lazio","CIV","MF",NA,28,17,10,58.8235294117647,12,12,58.3,4,2,2,2,6,0
"Luis Alberto","Lazio","ESP","MF",NA,28,29,17,58.6206896551724,52,52,15.4,32,4,28,13,7,0
"Giorgio Altare","Cagliari","ITA","DF",NA,22,39,28,71.7948717948718,26,26,80.8,17,5,12,30,70,0
"Wisdom Amey","Bologna","ITA","DF",NA,15,3,2,66.6666666666667,3,3,66.7,2,0,2,3,1,0
"Kelvin Amian","Spezia","FRA","DF",NA,23,66,42,63.6363636363636,41,41,73.2,39,21,18,32,75,0
"Nadiem Amiri","Genoa","GER","MF","FW",24,6,4,66.6666666666667,9,9,22.2,7,0,7,0,0,0
"Ethan Ampadu","Venezia","WAL","MF","DF",20,67,43,64.1791044776119,58,58,41.4,49,19,30,51,76,0
"Sofyan Amrabat","Fiorentina","MAR","MF",NA,24,24,13,54.1666666666667,19,19,57.9,25,8,17,5,6,1
"Felipe Anderson","Lazio","BRA","FW",NA,28,71,45,63.3802816901408,99,99,27.3,65,6,59,20,16,0
"Cristian Ansaldi","Torino","ARG","DF",NA,34,20,9,45,13,13,76.9,9,1,8,6,10,0
"Janis Antiste","Spezia","FRA","FW",NA,18,18,11,61.1111111111111,13,13,38.5,7,1,6,4,6,0
"Mattia Aramu","Venezia","ITA","MF","FW",26,20,15,75,33,33,24.2,20,2,18,8,19,0
