"Player","Squad","Nation","Pos","Pos2","Age","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Aaron Hickey","Bologna","SCO","DF",NA,19,1,6,0,0,21,13,61.9,0.24,0.38,21.3,0,44,37,7,4,4,0
"Aaron Ramsey","Juventus","WAL","MF",NA,30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,3,0,0,0,0
"Abdelhamid Sabiri","Sampdoria","MAR","MF","FW",24,2,5,0,0,16,9,56.3,0.19,0.33,23.6,3,28,18,10,5,2,3
"Abdou Harroui","Sassuolo","NED","MF",NA,23,0,0,0,0,13,2,15.4,0,0,21.6,0,13,12,1,1,1,0
"Abdoulaye Touré","Genoa","GUI","MF",NA,27,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,3,1,0,0,0
"Adam Marušić","Lazio","MNE","DF",NA,28,0,1,0,0,8,3,37.5,0.13,0.33,25.5,0,27,23,4,4,3,1
"Adam Obert","Cagliari","SVK","DF","MF",18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Adam Ounas","Napoli","ALG","MF","FW",24,0,0,0,0,13,2,15.4,0,0,18.7,0,29,18,11,0,0,0
"Adama Soumaoro","Bologna","FRA","DF",NA,29,0,0,0,0,8,2,25,0,0,8.3,0,12,11,1,1,1,0
"Adrian Šemper","Genoa","CRO","GK",NA,23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Adrien Rabiot","Juventus","FRA","MF",NA,26,2,2,0,0,26,7,26.9,0,0,17.2,0,45,35,10,3,3,0
"Adrien Silva","Sampdoria","POR","MF",NA,32,1,1,0,0,8,2,25,0,0,25.9,0,23,20,3,3,2,1
"Adrien Tameze","Hellas Verona","CMR","MF","DF",27,2,6,0,0,23,7,30.4,0.17,0.57,21.5,0,63,52,11,6,5,1
"Aimar Sher","Spezia","SWE","MF",NA,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Ainsley Maitland-Niles","Roma","ENG","DF",NA,23,0,0,0,0,3,2,66.7,0,0,18.5,0,15,11,4,2,2,0
"Alassane Sidibe","Atalanta","CIV","MF",NA,19,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Albert Guðmundsson","Genoa","ISL","FW","MF",24,0,1,0,0,9,1,11.1,0.11,1,17.6,0,24,17,7,0,0,0
"Alberto Grassi","Cagliari","ITA","MF",NA,26,1,1,0,0,24,2,8.3,0,0,19.8,0,41,29,12,3,2,1
"Albin Ekdal","Sampdoria","SWE","MF",NA,32,0,1,0,0,14,2,14.3,0.07,0.5,15.2,0,19,14,5,0,0,0
"Aleksa Terzić","Fiorentina","SRB","DF",NA,21,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,8,6,2,1,1,0
"Aleksandar Kolarov","Inter","SRB","DF",NA,35,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Aleksander Buksa","Genoa","POL","FW",NA,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Aleksandr Kokorin","Fiorentina","RUS","FW","MF",30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Aleksei Miranchuk","Atalanta","RUS","MF","FW",25,5,7,0,0,14,4,28.6,0.14,0.5,18.1,0,41,29,12,8,6,2
"Aleš Matějů","Venezia","CZE","DF",NA,25,1,1,0,0,2,2,100,0,0,11.2,0,15,14,1,2,2,0
"Alessandro Bastoni","Inter","ITA","DF",NA,22,2,3,0,0,9,2,22.2,0.11,0.5,20.5,0,45,39,6,5,5,0
"Alessandro Berardi","Hellas Verona","ITA","GK",NA,30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Alessandro Buongiorno","Torino","ITA","DF",NA,22,1,1,0,0,6,1,16.7,0,0,8.8,0,9,6,3,3,2,1
"Alessandro Deiola","Cagliari","ITA","MF",NA,25,1,5,0,0,26,12,46.2,0.15,0.33,20.1,0,37,32,5,4,3,1
"Alessandro Florenzi","Milan","ITA","DF","FW",30,0,2,0,0,22,6,27.3,0.09,0.33,23.7,2,34,25,9,2,2,0
"Alessandro Russo","Salernitana","ITA","MF",NA,17,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Alessandro Zanoli","Napoli","ITA","DF",NA,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,6,5,1,1,1,0
"Alessio Cragno","Cagliari","ITA","GK",NA,27,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,1,3,1,0,1
"Alessio Romagnoli","Milan","ITA","DF",NA,26,0,1,0,0,12,5,41.7,0.08,0.2,14.2,0,12,11,1,2,2,0
"Alex Ferrari","Sampdoria","ITA","DF",NA,27,0,1,0,0,4,1,25,0.25,1,18.5,0,10,8,2,1,1,0
"Alex Meret","Napoli","ITA","GK",NA,24,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Alex Sandro","Juventus","BRA","DF",NA,30,1,1,0,0,9,2,22.2,0,0,13,0,42,36,6,7,6,1
"Alexis Saelemaekers","Milan","BEL","FW",NA,22,3,4,0,0,39,12,30.8,0.03,0.08,20.7,0,82,61,21,8,5,3
"Alexis Sánchez","Inter","CHI","FW",NA,32,2,7,0,0,33,13,39.4,0.15,0.38,16,1,53,38,15,6,5,1
"Alfred Duncan","Fiorentina","GHA","MF",NA,28,2,4,0,0,11,3,27.3,0.18,0.67,18.5,0,50,45,5,4,4,0
"Álvaro Morata","Juventus","ESP","FW",NA,28,4,13,1,1,60,24,40,0.13,0.33,13.1,1,81,60,21,13,9,4
"Álvaro Odriozola","Fiorentina","ESP","DF",NA,25,2,3,0,0,4,2,50,0.25,0.5,11.9,0,54,45,9,4,3,1
"Amadou Diawara","Roma","GUI","MF",NA,24,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Amir Rrahmani","Napoli","KVX","DF",NA,27,0,4,0,0,22,9,40.9,0.18,0.44,9.4,0,21,18,3,4,4,0
"Anderson Lima","Lazio","BRA","MF",NA,21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0
"Andre-Frank Zambo Anguissa","Napoli","CMR","MF",NA,25,1,1,0,0,20,3,15,0,0,21.1,0,63,52,11,7,6,1
"Andrea Belotti","Torino","ITA","FW",NA,27,1,9,3,3,55,17,30.9,0.09,0.29,15.5,3,38,18,20,4,1,3
"Andrea Cambiaso","Genoa","ITA","DF",NA,21,4,5,0,0,13,5,38.5,0.08,0.2,21.1,0,39,30,9,5,5,0
"Andrea Carboni","Cagliari","ITA","DF",NA,20,0,0,0,0,10,1,10,0,0,13.1,0,20,19,1,2,2,0
"Andrea Consigli","Sassuolo","ITA","GK",NA,34,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,7,1,1,1,0
"Andrea Conti","Milan","ITA","DF",NA,27,0,0,0,0,4,1,25,0.25,1,12.4,0,2,1,1,0,0,0
"Andrea Conti","Milan","ITA","DF",NA,27,0,0,0,0,4,1,25,0.25,1,12.4,0,0,0,0,0,0,0
