"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Tammy Abraham","Roma","ENG","FW",NA,23,9,0,0,0,38
"Francesco Acerbi","Lazio","ITA","DF",NA,33,2,1,0,1,18
"Michel Aebischer","Bologna","SUI","MF",NA,24,1,0,0,0,13
"Felix Afena-Gyan","Roma","GHA","FW","MF",18,5,1,1,2,15
"Kevin Agudelo","Spezia","COL","MF","FW",22,2,1,0,1,36
"Ola Aina","Torino","NGA","DF",NA,24,4,0,0,0,18
"Marley Aké","Juventus","FRA","FW","MF",20,1,0,0,0,6
"Jean-Daniel Akpa-Akpro","Lazio","CIV","MF",NA,28,1,0,0,0,13
"Luis Alberto","Lazio","ESP","MF",NA,28,5,0,0,0,13
"Giorgio Altare","Cagliari","ITA","DF",NA,22,5,0,0,0,35
"Wisdom Amey","Bologna","ITA","DF",NA,15,0,0,0,0,1
"Kelvin Amian","Spezia","FRA","DF",NA,23,9,2,1,3,36
"Nadiem Amiri","Genoa","GER","MF","FW",24,0,0,0,0,7
"Ethan Ampadu","Venezia","WAL","MF","DF",20,13,2,1,3,46
"Sofyan Amrabat","Fiorentina","MAR","MF",NA,24,6,0,0,0,25
"Felipe Anderson","Lazio","BRA","FW",NA,28,2,0,0,0,43
"Cristian Ansaldi","Torino","ARG","DF",NA,34,2,0,0,0,13
"Janis Antiste","Spezia","FRA","FW",NA,18,0,0,0,0,15
"Mattia Aramu","Venezia","ITA","MF","FW",26,6,0,0,0,29
"Marko Arnautović","Bologna","AUT","FW",NA,32,6,0,0,0,45
"Tolgay Arslan","Udinese","GER","MF",NA,30,9,0,0,0,28
"Kristoffer Askildsen","Sampdoria","NOR","MF",NA,20,5,0,0,0,17
"Kristjan Asllani","Empoli","ALB","MF",NA,19,2,0,0,0,13
"Emil Audero","Sampdoria","ITA","GK",NA,24,2,0,0,0,0
"Tommaso Augello","Sampdoria","ITA","DF",NA,26,0,0,0,0,12
"Ramzi Aya","Salernitana","ITA","DF",NA,30,1,0,0,0,1
"Kaan Ayhan","Sassuolo","TUR","DF",NA,26,2,1,0,1,13
"Milan Badelj","Genoa","CRO","MF",NA,32,4,0,0,0,39
"Issa Bah","Venezia","LUX","FW",NA,19,0,0,0,0,0
"Nedim Bajrami","Empoli","ALB","MF","FW",22,3,0,0,0,16
"Tiemoué Bakayoko","Milan","FRA","MF",NA,26,3,0,0,0,12
"Keita Baldé","Cagliari","SEN","FW",NA,26,2,0,0,0,27
"Fodé Ballo-Touré","Milan","SEN","DF",NA,24,2,0,0,0,12
"Filippo Bandinelli","Empoli","ITA","MF",NA,26,10,0,0,0,53
"Mattia Bani","Genoa","ITA","DF",NA,27,1,0,0,0,14
"Antonín Barák","Hellas Verona","CZE","MF","FW",26,4,0,0,0,27
"Francesco Bardi","Bologna","ITA","GK",NA,29,0,0,0,0,0
"Nicolò Barella","Inter","ITA","MF",NA,24,9,0,0,0,30
"Musa Barrow","Bologna","GAM","FW","MF",22,0,0,0,0,10
"Daniele Baselli","Torino","ITA","MF","FW",29,0,0,0,0,3
"Daniele Baselli","Cagliari","ITA","MF",NA,29,1,0,0,0,2
"Toma Bašić","Lazio","CRO","MF",NA,24,3,0,0,0,13
"Alessandro Bastoni","Inter","ITA","DF",NA,22,4,0,0,0,30
"Simone Bastoni","Spezia","ITA","MF","DF",24,5,1,0,1,30
"Rodrigo Becão","Udinese","BRA","DF",NA,25,10,0,0,0,57
"Valon Behrami","Genoa","SUI","MF","FW",36,3,0,0,0,8
"Vid Belec","Salernitana","SVN","GK",NA,31,1,0,0,0,1
"Raoul Bellanova","Cagliari","ITA","DF","FW",21,3,0,0,0,10
"Andrea Belotti","Torino","ITA","FW",NA,27,1,0,0,0,26
"Marco Benassi","Fiorentina","ITA","DF","MF",26,1,0,0,0,4
"Marco Benassi","Empoli","ITA","MF",NA,26,1,0,0,0,5
"Filip Benković","Udinese","CRO","DF","FW",24,0,0,0,0,1
"Ismaël Bennacer","Milan","ALG","MF",NA,23,7,0,0,0,25
"Rodrigo Bentancur","Juventus","URU","MF",NA,24,1,0,0,0,25
"Alessandro Berardi","Hellas Verona","ITA","GK",NA,30,0,0,0,0,0
"Domenico Berardi","Sassuolo","ITA","FW",NA,26,9,0,0,0,53
"Bartosz Bereszyński","Sampdoria","POL","DF",NA,29,12,0,0,0,34
"Federico Bernardeschi","Juventus","ITA","MF","FW",27,5,0,0,0,16
"Nicolò Bertola","Spezia","ITA","MF","DF",18,0,0,0,0,0
"Daniel Bessa","Hellas Verona","ITA","MF",NA,28,5,1,1,2,21
