"Squad","Total_Goals_Scored","Total_Goals_Conceded","Assists","Goals+Assists","Penalty_Attempts","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Arminia",52,26,36,87,6,5,442,164,37.1,0.1,0.28,17.1,9,792,614,178,92,76,16
"Augsburg",54,36,37,88,9,6,480,171,35.6,0.09,0.26,17.3,14,854,635,219,91,66,25
"Bayern Munich",44,99,41,85,3,1,341,125,36.7,0.13,0.34,18.2,11,595,461,134,76,52,24
"Dortmund",46,75,33,78,6,6,370,130,35.1,0.11,0.3,18.4,12,649,499,150,77,49,28
"Eint Frankfurt",53,69,40,91,6,4,429,151,35.2,0.11,0.31,17.6,11,763,569,194,92,70,22
"Freiburg",52,52,35,85,6,4,498,170,34.1,0.09,0.27,19.1,24,873,661,212,83,59,24
"Gladbach",56,64,44,100,6,6,450,145,32.2,0.11,0.34,18,13,786,584,202,95,74,21
"Hertha BSC",52,41,35,86,8,7,421,133,31.6,0.1,0.33,18.2,14,742,529,213,86,54,32
"Hoffenheim",54,52,38,90,9,6,373,137,36.7,0.12,0.34,16.5,12,673,480,193,90,66,24
"Köln",60,34,43,103,9,8,408,149,36.5,0.13,0.35,17.2,16,724,499,225,103,73,30
"Leverkusen",39,53,27,64,2,1,345,110,31.9,0.1,0.33,17.8,16,599,408,191,60,42,18
"Mainz 05",56,39,35,90,7,6,444,156,35.1,0.11,0.31,16.9,16,797,553,244,89,57,32
"RB Leipzig",32,60,27,59,3,3,263,81,30.8,0.11,0.36,17.3,5,445,311,134,58,46,12
"Schalke 04",86,25,65,146,8,7,581,226,38.9,0.13,0.33,17.2,14,1008,706,302,144,95,49
"Stuttgart",55,56,38,92,7,5,450,159,35.3,0.11,0.31,17.8,12,791,575,216,95,70,25
"Union Berlin",43,50,31,72,5,4,363,131,36.1,0.1,0.28,17.5,8,639,445,194,71,41,30
"Werder Bremen",57,36,41,95,6,4,453,151,33.3,0.11,0.33,17.2,9,800,576,224,96,69,27
"Wolfsburg",37,61,27,63,5,3,353,117,33.1,0.09,0.28,16.6,13,625,408,217,61,36,25
