"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Arminia",552,328,59.4202898550725,536,536,39.9,393,122,271,418,739,9
"Augsburg",509,308,60.5108055009823,503,503,40,395,116,279,454,852,8
"Bayern Munich",510,316,61.9607843137255,541,541,41.4,388,75,313,399,398,10
"Dortmund",516,318,61.6279069767442,487,487,45,379,95,284,413,472,12
"Eint Frankfurt",594,352,59.2592592592593,596,596,44.1,371,77,294,428,594,10
"Freiburg",431,247,57.3085846867749,448,448,37.5,365,118,247,452,631,8
"Gladbach",503,307,61.0337972166998,531,531,40.5,424,116,308,436,616,6
"Hertha BSC",485,270,55.6701030927835,493,493,41.6,377,89,288,417,687,8
"Hoffenheim",508,296,58.2677165354331,539,539,42.5,370,90,280,431,619,8
"Köln",586,328,55.9726962457338,546,546,45.4,382,101,281,429,670,8
"Leverkusen",500,282,56.4,498,498,42.8,368,87,281,322,481,10
"Mainz 05",593,364,61.3827993254637,574,574,44.9,419,109,310,500,662,6
"RB Leipzig",460,305,66.304347826087,460,460,41.3,336,63,273,353,504,5
"Schalke 04",552,337,61.0507246376812,546,546,37.2,437,143,294,411,693,12
"Stuttgart",496,294,59.2741935483871,531,531,44.3,379,108,271,426,654,8
"Union Berlin",503,283,56.2624254473161,501,501,46.3,367,85,282,405,605,9
"Werder Bremen",542,333,61.4391143911439,556,556,41,368,101,267,407,798,10
"Wolfsburg",594,363,61.1111111111111,599,599,45.2,465,79,386,477,700,6
