"Squad","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Arminia",597,1706,16172,20180,80.1,6718,7659,87.7,1734,2976,58.3,7309,8447,86.5,18429,1675,418,19,157,713,786,186,76,57.8,23892,537,322,60,214,39.9
"Augsburg",698,1675,16032,20111,79.7,6600,7609,86.7,1834,3073,59.7,7242,8349,86.7,18291,1727,433,20,131,846,804,186,93,58.7,23777,503,302,60,201,40
"Bayern Munich",476,1028,10814,14425,75,4948,5827,84.9,1311,2483,52.8,4271,5186,82.4,12726,1596,369,38,132,451,632,119,103,38.9,18509,541,317,58.6,224,41.4
"Dortmund",534,1113,11643,15088,77.2,5148,5974,86.2,1289,2389,54,4826,5746,84,13550,1497,406,14,113,456,579,127,41,40.2,18919,487,268,55,219,45
"Eint Frankfurt",598,1251,11768,15827,74.4,5032,5945,84.6,1519,2887,52.6,4812,5905,81.5,13975,1773,506,23,149,599,713,160,79,46,19904,597,333,55.8,263,44.1
"Freiburg",670,1269,14286,17984,79.4,6033,6925,87.1,1495,2698,55.4,6416,7422,86.4,16318,1625,461,16,119,604,693,151,41,53,21612,448,280,62.5,168,37.5
"Gladbach",511,1270,13907,17721,78.5,5819,6750,86.2,1467,2681,54.7,6268,7275,86.2,16050,1603,457,18,92,607,680,140,68,48.1,21471,531,316,59.5,215,40.5
"Hertha BSC",588,1403,12941,16634,77.8,5644,6558,86.1,1445,2597,55.6,5448,6436,84.6,14896,1695,516,16,140,640,707,160,43,50.6,20327,493,288,58.4,205,41.6
"Hoffenheim",587,1344,13485,17328,77.8,5746,6657,86.3,1614,2804,57.6,5735,6780,84.6,15536,1682,458,27,139,579,715,159,110,48.9,21153,539,310,57.5,229,42.5
"Köln",551,1482,14912,18677,79.8,6059,6994,86.6,1683,2839,59.3,6785,7803,87,16928,1696,448,20,117,616,784,159,53,53.7,22441,546,298,54.6,248,45.4
"Leverkusen",501,1033,10912,14689,74.3,4506,5371,83.9,1316,2595,50.7,4819,5837,82.6,13044,1576,481,19,91,500,623,121,69,40.1,18528,499,285,57.1,213,42.7
"Mainz 05",594,1510,16142,20270,79.6,6424,7425,86.5,1967,3244,60.6,7298,8467,86.2,18410,1808,527,15,130,652,807,162,52,59.5,24350,574,316,55.1,258,44.9
"RB Leipzig",383,873,10611,14505,73.2,4411,5377,82,1281,2592,49.4,4612,5588,82.5,12704,1725,494,11,87,440,700,123,76,40,18390,460,270,58.7,190,41.3
"Schalke 04",641,1480,14720,18465,79.7,6345,7265,87.3,1679,2805,59.9,6244,7257,86,16697,1690,454,31,117,681,780,204,78,55.4,22218,546,343,62.8,203,37.2
"Stuttgart",619,1291,12966,16812,77.1,5416,6293,86.1,1495,2844,52.6,5719,6771,84.5,15135,1633,451,13,98,660,681,162,44,48.5,20718,531,296,55.7,235,44.3
"Union Berlin",479,1373,15603,19632,79.5,6539,7572,86.4,1699,2969,57.2,6969,8061,86.5,17834,1749,500,14,126,531,771,141,49,55.1,23260,501,269,53.7,232,46.3
"Werder Bremen",660,1529,15964,19910,80.2,6845,7858,87.1,1786,2945,60.6,6859,7934,86.5,18159,1670,438,13,148,740,778,170,81,56.2,23571,556,328,59,228,41
"Wolfsburg",449,1197,12302,16502,74.5,5196,6222,83.5,1500,2759,54.4,5231,6382,82,14533,1914,497,18,135,610,868,178,55,48.6,20357,599,328,54.8,271,45.2
