"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Arminia",52,1,0,1,390
"Augsburg",71,4,3,7,395
"Bayern Munich",44,3,0,3,317
"Dortmund",44,1,1,2,359
"Eint Frankfurt",82,1,1,2,459
"Freiburg",62,0,0,0,437
"Gladbach",61,2,0,2,395
"Hertha BSC",67,3,2,5,469
"Hoffenheim",68,4,2,6,442
"Köln",63,1,1,2,422
"Leverkusen",58,0,0,0,433
"Mainz 05",63,1,1,2,500
"RB Leipzig",57,0,0,0,435
"Schalke 04",74,2,2,4,415
"Stuttgart",65,2,1,3,420
"Union Berlin",57,2,1,3,434
"Werder Bremen",67,3,2,5,396
"Wolfsburg",58,3,1,4,442
