"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Arminia",63,2,1,3,437
"Augsburg",54,1,1,2,425
"Bayern Munich",50,0,0,0,397
"Dortmund",62,1,0,1,384
"Eint Frankfurt",64,0,0,0,386
"Freiburg",54,0,0,0,419
"Gladbach",75,3,2,5,431
"Hertha BSC",68,3,1,4,442
"Hoffenheim",47,2,0,2,432
"Köln",67,0,0,0,459
"Leverkusen",50,3,2,5,359
"Mainz 05",73,4,3,7,396
"RB Leipzig",64,2,1,3,429
"Schalke 04",59,2,2,4,428
"Stuttgart",69,3,2,5,457
"Union Berlin",64,2,0,2,391
"Werder Bremen",68,3,1,4,488
"Wolfsburg",61,2,2,4,400
