"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Atalanta",636,364,57.2327044025157,634,634,49.2,455,93,362,421,613,12
"Bologna",648,373,57.5617283950617,618,618,48.1,414,131,283,302,652,7
"Cremonese",704,400,56.8181818181818,729,729,49.9,432,136,296,393,771,13
"Empoli",606,364,60.0660066006601,538,538,47.2,449,183,266,280,910,4
"Fiorentina",581,337,58.0034423407917,531,531,53.1,356,84,272,260,473,11
"Hellas Verona",605,357,59.0082644628099,562,562,52.7,445,143,302,337,745,12
"Inter",572,325,56.8181818181818,523,523,49.3,385,110,275,315,541,7
"Juventus",594,352,59.2592592592593,558,558,51.6,421,131,290,307,704,10
"Lazio",582,349,59.9656357388316,625,625,44.3,437,126,311,310,606,8
"Lecce",705,427,60.5673758865248,619,619,51.5,486,112,374,368,826,4
"Milan",690,422,61.1594202898551,563,563,53.3,387,126,261,289,542,9
"Monza",595,355,59.6638655462185,551,551,47.2,380,120,260,334,661,13
"Napoli",569,313,55.0087873462214,521,521,48.9,374,96,278,287,490,7
"Roma",624,340,54.4871794871795,617,617,46.8,392,113,279,368,590,9
"Salernitana",587,337,57.4105621805792,569,569,45.5,409,157,252,329,740,13
"Sampdoria",589,351,59.5925297113752,558,558,46.8,428,152,276,317,688,7
"Sassuolo",502,281,55.9760956175299,461,461,46.9,371,122,249,278,658,16
"Spezia",622,359,57.7170418006431,569,569,44.6,457,161,296,301,830,7
"Torino",473,265,56.0253699788584,367,367,54.2,337,110,227,292,627,9
"Udinese",651,365,56.0675883256528,632,632,51.6,437,128,309,314,712,8
