"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Atalanta",742,458,61.7250673854447,695,695,51.1,454,133,321,360,704,9
"Bologna",548,325,59.3065693430657,508,508,47.8,455,117,338,320,571,10
"Cremonese",548,331,60.4014598540146,488,488,51.4,384,120,264,307,706,13
"Empoli",683,387,56.6617862371889,624,624,49.8,457,130,327,330,632,8
"Fiorentina",618,339,54.8543689320388,596,596,45.8,448,176,272,331,844,12
"Hellas Verona",604,346,57.2847682119205,549,549,50.1,378,105,273,272,694,4
"Inter",461,262,56.8329718004338,416,416,48.1,373,149,224,330,802,10
"Juventus",605,349,57.6859504132231,546,546,46.7,387,132,255,362,702,9
"Lazio",529,301,56.8998109640832,524,524,45.6,405,107,298,329,537,15
"Lecce",574,327,56.9686411149826,485,485,50.5,374,117,257,306,691,7
"Milan",644,381,59.1614906832298,692,692,46.8,421,140,281,335,788,13
"Monza",546,323,59.1575091575092,519,519,45.7,377,105,272,316,555,6
"Napoli",700,406,58,698,698,51.7,436,161,275,331,726,14
"Roma",633,388,61.2954186413902,589,589,53.5,399,138,261,290,621,11
"Salernitana",564,331,58.6879432624113,525,525,49.7,372,96,276,299,564,8
"Sampdoria",557,354,63.5547576301616,482,482,46.1,431,99,332,317,649,5
"Sassuolo",634,360,56.782334384858,569,569,47.5,426,124,302,306,625,10
"Spezia",669,367,54.8579970104634,581,581,52.2,430,117,313,354,749,6
"Torino",590,312,52.8813559322034,579,579,47.7,407,122,285,306,626,5
"Udinese",686,389,56.7055393586006,680,680,51.5,438,146,292,301,593,11
