"Squad","Goalkeepers_Used","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Atalanta",3,48,107,70.6,9,23.7,0,0
"Bologna",2,49,117,74.5,8,21.1,2,22.2
"Cremonese",3,69,157,71.6,6,15.8,0,0
"Empoli",3,49,110,71.7,9,23.7,1,20
"Fiorentina",4,43,78,70,10,26.3,1,12.5
"Hellas Verona",2,59,128,68.6,6,15.8,1,50
"Inter",3,42,98,71.5,13,34.2,0,0
"Juventus",2,33,99,78.2,20,52.6,1,20
"Lazio",2,30,99,77.3,21,55.3,0,0
"Lecce",1,46,112,73.7,6,15.8,1,16.7
"Milan",3,43,80,68.3,12,31.6,1,20
"Monza",2,52,121,71.5,10,26.3,0,0
"Napoli",2,28,78,74.8,18,47.4,1,50
"Roma",2,38,80,69.5,14,36.8,1,33.3
"Salernitana",3,62,130,71.9,7,18.4,4,36.4
"Sampdoria",3,71,144,70.7,4,10.5,2,20
"Sassuolo",3,61,71,56.2,9,23.7,0,0
"Spezia",4,62,123,68.9,6,15.8,1,16.7
"Torino",1,41,95,73.5,11,28.9,0,0
"Udinese",1,48,91,69.3,10,26.3,0,0
