"Squad","Player_Count","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Atalanta",27,687,1637,15462,19507,79.3,7245,8234,88,1525,2778,54.9,6234,7350,84.8,17537,1912,432,35,154,652,893,194,58,49.9,23862,785,340,43.3,355,45.2
"Bologna",27,564,1366,16763,20552,81.6,7901,8808,89.7,1675,2874,58.3,6726,7738,86.9,18623,1852,484,58,179,558,830,145,77,54.7,24552,567,265,46.7,243,42.9
"Cremonese",33,521,1107,10872,15041,72.3,4733,5616,84.3,1236,2782,44.4,4640,5790,80.1,13147,1826,482,26,99,659,768,146,68,42.1,19346,569,237,41.7,251,44.1
"Empoli",32,608,1114,13199,16862,78.3,5889,6670,88.3,1395,2669,52.3,5521,6484,85.1,14830,1978,538,24,105,611,828,163,54,47.3,21188,705,313,44.4,311,44.1
"Fiorentina",30,789,1627,15373,19236,79.9,6120,6942,88.2,2111,3485,60.6,6799,7859,86.5,17189,1991,600,30,203,880,831,234,56,56.1,23123,704,323,45.9,273,38.8
"Hellas Verona",36,503,1063,9481,13807,68.7,3784,4825,78.4,1394,2872,48.5,4041,5180,78,12006,1727,437,23,81,652,721,170,74,41.2,18056,627,274,43.7,275,43.9
"Inter",25,668,1624,17693,21281,83.1,7531,8348,90.2,1858,3042,61.1,7877,8900,88.5,19504,1709,443,50,185,885,682,214,68,55.7,25128,494,216,43.7,200,40.5
"Juventus",29,673,1394,15226,18690,81.5,6319,7141,88.5,1910,3085,61.9,6719,7633,88,16884,1744,449,38,195,731,706,207,62,49.6,22810,625,291,46.6,255,40.8
"Lazio",24,683,1381,18135,21629,83.8,9434,10386,90.8,1635,2620,62.4,6408,7337,87.3,19809,1766,540,55,135,483,680,169,54,52.1,25453,612,285,46.6,239,39.1
"Lecce",29,515,1232,10083,14358,70.2,4285,5217,82.1,1351,3015,44.8,4134,5229,79.1,12384,1906,504,23,175,709,858,172,68,41.3,18839,559,240,42.9,245,43.8
"Milan",30,795,1584,15948,19734,80.8,6781,7765,87.3,1800,2995,60.1,6974,7961,87.6,17874,1799,472,52,126,671,813,187,61,55.6,23856,800,368,46,324,40.5
"Monza",31,708,1362,17198,20724,83,7443,8250,90.2,1777,2898,61.3,7577,8569,88.4,18818,1837,570,33,168,596,711,154,69,55.2,24603,596,282,47.3,237,39.8
"Napoli",27,907,1804,21086,24473,86.2,10412,11275,92.3,1839,2748,66.9,8149,9116,89.4,22587,1826,515,36,200,681,785,228,60,61.8,28410,798,337,42.2,361,45.2
"Roma",30,684,1217,14171,17814,79.5,6089,6899,88.3,1659,2915,56.9,6074,7077,85.8,15874,1884,528,59,176,595,833,188,56,48.6,21861,677,274,40.5,315,46.5
"Salernitana",30,519,1089,12667,16508,76.7,5739,6539,87.8,1342,2755,48.7,5160,6153,83.9,14589,1852,530,25,140,559,720,143,67,44.9,20527,599,264,44.1,261,43.6
"Sampdoria",40,466,1126,12606,16575,76.1,5369,6223,86.3,1489,2830,52.6,5427,6538,83,14576,1944,598,34,107,599,760,130,55,46.1,20460,543,260,47.9,222,40.9
"Sassuolo",31,761,1565,14805,18306,80.9,6480,7323,88.5,1835,2980,61.6,6109,7036,86.8,16248,2015,566,34,195,625,798,177,43,49.2,22100,653,299,45.8,270,41.3
"Spezia",34,553,1163,12399,16501,75.1,5772,6701,86.1,1235,2696,45.8,4973,6020,82.6,14437,2009,456,26,107,655,922,193,55,47.4,20952,653,278,42.6,304,46.6
"Torino",28,684,1328,15376,19336,79.5,6788,7659,88.6,1502,2948,50.9,6681,7680,87,17523,1733,445,36,117,610,742,172,80,53.2,23243,668,303,45.4,276,41.3
"Udinese",30,646,1354,13391,16790,79.8,5689,6485,87.7,1624,2751,59,5719,6627,86.3,14908,1831,536,37,213,564,707,186,51,48,21183,770,330,42.9,350,45.5
