"Squad","Rank","Wins","Draws","Losses","Pts","Home_Wins","Away_Wins","Home_Draws","Away_Draws","Home_Losses","Away_Losses","Home_Pts","Away_Pts"
"Napoli",1,28,6,4,90,14,14,3,3,2,2,45,45
"Lazio",2,22,8,8,74,11,11,4,4,4,4,37,37
"Inter",3,23,3,12,72,14,9,0,3,5,7,42,30
"Milan",4,20,10,8,70,13,7,4,6,2,6,43,27
"Atalanta",5,19,7,12,64,10,9,3,4,6,6,33,31
"Roma",6,18,9,11,63,11,7,3,6,5,6,36,27
"Juventus",7,22,6,10,62,13,9,3,3,3,7,42,30
"Fiorentina",8,15,11,12,56,9,6,6,5,4,8,33,23
"Bologna",9,14,12,12,54,7,7,9,3,3,9,30,24
"Torino",10,14,11,13,53,5,9,7,4,7,6,22,31
"Monza",11,14,10,14,52,7,7,5,5,7,7,26,26
"Udinese",12,11,13,14,46,6,5,9,4,4,10,27,19
"Sassuolo",13,12,9,17,45,8,4,4,5,7,10,28,17
"Empoli",14,10,13,15,43,8,2,4,9,7,8,28,15
"Salernitana",15,9,15,14,42,7,2,6,9,6,8,27,15
"Lecce",16,8,12,18,36,3,5,8,4,8,10,17,19
"Spezia",17,6,13,19,31,4,2,8,5,7,12,20,11
"Hellas Verona",18,7,10,21,31,6,1,3,7,10,11,21,10
"Cremonese",19,5,12,21,27,4,1,4,8,11,10,16,11
"Sampdoria",20,3,10,25,19,1,2,7,3,11,14,10,9
