"Squad","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Atalanta",595,1264,15427,19505,79.1,6905,7793,88.6,1676,3037,55.2,6372,7476,85.2,17534,1921,506,32,113,578,831,150,50,50.1,23959,725,322,44.4,312,43
"Bologna",565,1294,13164,16931,77.8,5899,6781,87,1412,2682,52.6,5442,6412,84.9,14958,1915,525,38,111,665,812,172,58,45.3,20920,714,321,45,297,41.6
"Cremonese",763,1615,16894,21008,80.4,7478,8539,87.6,1949,3246,60,7053,8191,86.1,18975,1961,498,50,178,696,857,208,72,57.9,25307,813,365,44.9,365,44.9
"Empoli",830,1684,15100,18872,80,6646,7495,88.7,1969,3152,62.5,6067,7180,84.5,16892,1905,465,31,303,950,851,236,75,52.7,23087,635,284,44.7,254,40
"Fiorentina",476,922,11306,15020,75.3,4808,5582,86.1,1372,2746,50,4825,5776,83.5,13090,1837,524,47,128,446,733,117,93,43.9,19129,608,249,41,282,46.4
"Hellas Verona",603,1494,15647,19989,78.3,7008,8032,87.3,1616,3152,51.3,6619,7759,85.3,17918,2027,593,38,102,634,842,196,44,58.8,24226,639,266,41.6,296,46.3
"Inter",697,1227,13657,17072,80,6054,6798,89.1,1563,2764,56.5,5662,6544,86.5,15252,1784,485,12,151,558,680,151,36,44.3,21038,597,265,44.4,258,43.2
"Juventus",744,1357,15647,19135,81.8,7322,8116,90.2,1614,2728,59.2,6348,7337,86.5,17281,1801,495,25,152,706,713,186,53,50.4,23194,640,270,42.2,288,45
"Lazio",598,1302,16443,19956,82.4,6647,7401,89.8,1844,3111,59.3,7571,8410,90,18174,1719,442,28,217,641,752,175,63,47.9,23748,713,348,48.8,277,38.8
"Lecce",613,1408,16184,20584,78.6,7209,8304,86.8,1605,2979,53.9,6925,8101,85.5,18277,2243,588,49,150,677,1062,193,64,58.7,24775,695,300,43.2,319,45.9
"Milan",546,1168,12205,15832,77.1,5812,6649,87.4,1349,2581,52.3,4641,5621,82.6,13974,1817,483,25,170,539,743,163,41,44.4,20064,640,263,41.1,300,46.9
"Monza",768,1449,13250,16713,79.3,5915,6743,87.7,1602,2737,58.5,5352,6296,85,14879,1779,538,28,186,704,709,186,55,44.8,20566,618,291,47.1,260,42.1
"Napoli",509,1013,11634,15077,77.2,5405,6156,87.8,1189,2442,48.7,4729,5618,84.2,13353,1674,438,32,117,491,624,143,50,38.2,19204,592,266,44.9,255,43.1
"Roma",636,1362,15388,19029,80.9,6807,7696,88.4,1582,2803,56.4,6604,7609,86.8,17307,1700,471,17,138,573,710,147,22,51.4,23002,683,328,48,289,42.3
"Salernitana",770,1624,16535,20352,81.2,7385,8294,89,1654,2900,57,7107,8175,86.9,18467,1813,512,45,140,683,783,186,72,55.1,24286,671,310,46.2,259,38.6
"Sampdoria",723,1603,15794,19629,80.5,7152,8055,88.8,1632,2881,56.6,6539,7575,86.3,17746,1793,528,53,165,719,732,223,90,53.9,23745,655,297,45.3,261,39.8
"Sassuolo",672,1349,15353,18941,81.1,6716,7463,90,1663,2915,57,6573,7529,87.3,17077,1745,426,56,154,671,741,177,119,50.8,22837,539,245,45.5,216,40.1
"Spezia",671,1440,14451,18557,77.9,6199,7221,85.8,1659,2991,55.5,6169,7259,85,16453,2028,553,66,152,726,902,205,76,52.6,22994,668,315,47.2,254,38
"Torino",524,1100,12945,17004,76.1,5705,6603,86.4,1530,3025,50.6,5320,6442,82.6,15114,1848,558,19,87,615,760,149,42,46.8,20896,438,168,38.4,199,45.4
"Udinese",631,1462,14910,18518,80.5,6731,7585,88.7,1712,2866,59.7,6024,6967,86.5,16626,1831,497,43,146,703,751,209,61,52,22575,721,306,42.4,326,45.2
