"Squad","Total_Goals_Scored","Total_Goals_Conceded","Assists","Goals+Assists","Penalty_Attempts","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Atalanta",48,66,35,81,3,3,447,150,33.6,0.1,0.29,19.4,19,781,586,195,79,59,20
"Bologna",49,53,29,75,9,7,474,156,32.9,0.08,0.25,17.7,14,824,569,255,74,49,25
"Cremonese",69,36,46,114,5,5,576,220,38.2,0.11,0.29,17.2,22,1027,721,306,122,83,39
"Empoli",49,37,32,80,6,4,607,154,25.4,0.07,0.29,17.2,21,1086,797,289,84,58,26
"Fiorentina",43,53,28,69,8,7,338,112,33.1,0.1,0.3,16.4,8,596,419,177,71,52,19
"Hellas Verona",59,31,48,104,2,1,539,183,34,0.1,0.3,18.4,18,935,675,260,97,76,21
"Inter",42,71,34,73,3,3,423,134,31.7,0.09,0.27,18,22,759,579,180,70,54,16
"Juventus",33,56,25,58,5,4,461,128,27.8,0.06,0.23,19.4,16,795,614,181,53,35,18
"Lazio",30,60,21,50,2,1,463,127,27.4,0.06,0.22,17.9,7,812,583,229,53,38,15
"Lecce",46,33,30,73,6,5,442,150,33.9,0.09,0.25,18.4,22,781,561,220,73,53,20
"Milan",43,64,32,74,5,4,401,118,29.4,0.09,0.32,18.4,16,709,513,196,74,46,28
"Monza",52,48,32,83,3,3,484,169,34.9,0.1,0.28,16.8,13,869,635,234,85,62,23
"Napoli",28,77,18,46,2,1,363,105,28.9,0.07,0.26,18.3,9,644,459,185,48,32,16
"Roma",38,50,26,63,3,2,393,115,29.3,0.09,0.3,20.3,27,703,512,191,60,41,19
"Salernitana",62,48,40,102,11,7,583,185,31.7,0.09,0.3,17.1,15,1030,754,276,106,73,33
"Sampdoria",71,24,53,122,11,8,591,205,34.7,0.1,0.3,16.9,23,1044,741,303,119,89,30
"Sassuolo",61,47,44,103,4,4,479,126,26.3,0.11,0.44,17,16,845,622,223,97,74,23
"Spezia",62,31,41,100,7,5,592,177,29.9,0.09,0.31,17.7,13,1044,731,313,104,74,30
"Torino",41,42,28,69,6,5,427,131,30.7,0.08,0.27,18.8,15,755,561,194,70,47,23
"Udinese",48,47,32,78,7,6,460,131,28.5,0.09,0.31,17.2,23,806,555,251,86,64,22
