"Squad","Total_Goals_Scored","Total_Goals_Conceded","Goal_Difference","Home_Goals_Scored","Home_Goals_Conceded","Home_Goal_Difference","Away_Goals_Scored","Away_Goals_Conceded","Away_Goal_Difference","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Atalanta",66,48,18,38,26,12,28,22,6,42,106,8,6,506,168,33.2,0.11,0.35,16.9,13,928,681,247,113,83,30
"Bologna",53,49,4,24,14,10,29,35,-6,41,93,6,6,479,150,31.3,0.1,0.31,19.6,18,866,642,224,91,64,27
"Cremonese",36,69,-33,15,31,-16,21,38,-17,18,53,7,5,458,122,26.6,0.07,0.25,18.5,15,789,551,238,53,31,22
"Empoli",37,49,-12,22,23,-1,15,26,-11,20,55,2,2,447,129,28.9,0.07,0.26,18.3,19,767,537,230,60,39,21
"Fiorentina",53,43,10,30,22,8,23,21,2,37,88,6,4,597,171,28.6,0.08,0.27,17.6,23,1068,763,305,89,64,25
"Hellas Verona",31,59,-28,20,32,-12,11,27,-16,22,51,1,1,415,116,28,0.07,0.24,18.6,13,704,482,222,50,31,19
"Inter",71,42,29,37,14,23,34,28,6,50,118,5,4,625,197,31.5,0.1,0.32,16.9,21,1104,816,288,118,88,30
"Juventus",56,33,23,38,15,23,18,18,0,41,97,6,3,529,171,32.3,0.1,0.31,17.3,19,911,638,273,91,61,30
"Lazio",60,30,30,32,18,14,28,12,16,37,96,8,6,430,161,37.4,0.12,0.33,17.8,14,760,576,184,103,78,25
"Lecce",33,46,-13,18,24,-6,15,22,-7,21,52,6,4,412,106,25.7,0.07,0.25,18.8,14,699,483,216,50,38,12
"Milan",64,43,21,41,20,21,23,23,0,49,110,5,5,546,178,32.6,0.1,0.31,17.7,26,985,688,297,111,76,35
"Monza",48,52,-4,25,22,3,23,30,-7,31,77,6,5,406,139,34.2,0.1,0.29,17.9,13,714,537,177,86,62,24
"Napoli",77,28,49,40,15,25,37,13,24,57,132,10,8,605,212,35,0.11,0.32,17.1,18,1105,819,286,131,98,33
"Roma",50,38,12,28,15,13,22,23,-1,33,83,10,7,488,155,31.8,0.09,0.28,17,15,861,574,287,85,52,33
"Salernitana",48,62,-14,30,26,4,18,36,-18,34,80,2,2,381,115,30.2,0.12,0.38,18.9,14,656,489,167,81,64,17
"Sampdoria",24,71,-47,12,28,-16,12,43,-31,18,41,2,1,376,114,30.3,0.06,0.19,17.8,16,637,456,181,36,26,10
"Sassuolo",47,61,-14,24,23,1,23,38,-15,30,76,10,9,477,161,33.8,0.08,0.23,18,20,871,684,187,81,56,25
"Spezia",31,62,-31,18,30,-12,13,32,-19,18,47,4,4,419,120,28.6,0.06,0.21,18.3,19,710,511,199,42,29,13
"Torino",42,41,1,15,19,-4,27,22,5,34,75,2,2,444,146,32.9,0.09,0.27,16.7,6,821,635,186,74,58,16
"Udinese",47,48,-1,30,20,10,17,28,-11,41,87,2,1,503,145,28.8,0.09,0.31,18.5,23,889,625,264,80,61,19
