"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Alavés",579,346,59.7582037996546,619,619,41.2,385,114,271,392,766,7
"Athletic Club",533,324,60.7879924953096,613,613,35.4,339,92,247,373,755,7
"Atlético Madrid",658,406,61.7021276595745,640,640,44.2,380,108,272,412,729,18
"Barcelona",536,323,60.2611940298507,501,501,42.1,313,87,226,342,529,16
"Betis",501,299,59.6806387225549,511,511,43.2,336,119,217,302,682,8
"Celta Vigo",589,357,60.6112054329372,615,615,40.8,345,89,256,396,807,12
"Eibar",567,338,59.6119929453263,607,607,43.5,332,81,251,430,692,8
"Espanyol",628,364,57.9617834394904,701,701,36.7,380,96,284,360,731,17
"Getafe",580,341,58.7931034482759,573,573,41,374,60,314,367,625,12
"Granada",584,349,59.7602739726027,570,570,41.8,375,118,257,383,750,10
"Leganés",603,357,59.2039800995025,610,610,41.6,320,73,247,418,687,7
"Levante",507,288,56.8047337278106,532,532,38.3,317,107,210,331,763,14
"Mallorca",545,338,62.0183486238532,602,602,37.7,360,117,243,376,672,9
"Osasuna",613,361,58.8907014681892,617,617,43.3,385,98,287,417,738,19
"Real Madrid",586,355,60.580204778157,595,595,38,367,77,290,381,590,13
"Real Sociedad",551,321,58.2577132486388,573,573,44,346,79,267,320,694,12
"Sevilla",587,344,58.603066439523,661,661,39.5,331,94,237,346,704,10
"Valencia",500,311,62.2,589,589,39.4,334,130,204,360,748,12
"Valladolid",568,327,57.5704225352113,672,672,35.6,391,112,279,390,749,13
"Villarreal",553,323,58.4086799276673,602,602,36.2,362,116,246,339,814,12
