"Squad","Rank","Wins","Draws","Losses","Pts","Home_Wins","Away_Wins","Home_Draws","Away_Draws","Home_Losses","Away_Losses","Home_Pts","Away_Pts"
"Real Madrid",1,26,9,3,87,15,11,4,5,0,3,49,38
"Barcelona",2,25,7,6,82,16,9,2,5,1,5,50,32
"Atlético Madrid",3,18,16,4,70,12,6,6,10,1,3,42,28
"Sevilla",4,19,13,6,70,10,9,7,6,2,4,37,33
"Villarreal",5,18,6,14,60,9,9,5,1,5,9,32,28
"Real Sociedad",6,16,8,14,56,9,7,4,4,6,8,31,25
"Granada",7,16,8,14,56,10,6,3,5,6,8,33,23
"Getafe",8,14,12,12,54,8,6,6,6,5,7,30,24
"Valencia",9,14,11,13,53,11,3,7,4,1,12,40,13
"Osasuna",10,13,13,12,52,7,6,7,6,5,7,28,24
"Athletic Club",11,13,12,13,51,9,4,4,8,6,7,31,20
"Levante",12,14,7,17,49,9,5,5,2,5,12,32,17
"Valladolid",13,9,15,14,42,5,4,10,5,4,10,25,17
"Eibar",14,11,9,18,42,8,3,3,6,8,10,27,15
"Betis",15,10,11,17,41,9,1,4,7,6,11,31,10
"Alavés",16,10,9,19,39,7,3,6,3,6,13,27,12
"Celta Vigo",17,7,16,15,37,5,2,8,8,6,9,23,14
"Leganés",18,8,12,18,36,5,3,5,7,9,9,20,16
"Mallorca",19,9,6,23,33,8,1,3,3,8,15,27,6
"Espanyol",20,5,10,23,25,2,3,6,4,11,12,12,13
