"Squad","Total_Goals_Scored","Total_Goals_Conceded","Assists","Goals+Assists","Penalty_Attempts","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Alavés",59,34,36,95,15,12,458,146,31.9,0.1,0.32,18.5,29,833,582,251,103,78,25
"Athletic Club",38,41,26,62,7,5,386,123,31.9,0.08,0.25,17.8,26,697,482,215,65,43,22
"Atlético Madrid",27,51,15,39,4,3,412,109,26.5,0.05,0.19,19.8,19,698,493,205,43,23,20
"Barcelona",38,86,21,59,7,6,364,112,30.8,0.09,0.29,19.2,16,630,463,167,64,45,19
"Betis",60,48,40,99,11,11,437,143,32.7,0.11,0.34,17.8,18,771,543,228,104,59,45
"Celta Vigo",49,37,31,80,5,5,439,144,32.8,0.1,0.31,18.5,17,762,519,243,84,56,28
"Eibar",56,39,38,93,6,4,374,132,35.3,0.14,0.39,17.2,15,649,456,193,96,68,28
"Espanyol",58,27,35,91,7,6,438,156,35.6,0.11,0.32,18.7,22,773,548,225,90,61,29
"Getafe",37,43,21,56,6,5,275,103,37.5,0.11,0.29,16.9,15,480,316,164,58,41,17
"Granada",45,52,37,82,5,4,443,151,34.1,0.09,0.27,19,27,803,577,226,81,60,21
"Leganés",51,30,34,84,7,6,342,131,38.3,0.13,0.34,18.7,19,626,449,177,86,57,29
"Levante",53,47,40,91,7,3,571,209,36.6,0.08,0.23,17.3,26,1013,737,276,87,64,23
"Mallorca",65,40,39,103,16,15,482,174,36.1,0.1,0.28,18.2,17,873,662,211,109,74,35
"Osasuna",54,46,39,93,5,5,419,138,32.9,0.12,0.36,17.9,26,731,504,227,89,59,30
"Real Madrid",25,70,21,46,2,2,335,108,32.2,0.07,0.21,18.1,12,583,398,185,44,27,17
"Real Sociedad",48,56,33,80,9,7,385,136,35.3,0.1,0.29,18.2,13,697,479,218,84,56,28
"Sevilla",34,54,21,54,4,3,384,113,29.4,0.08,0.27,19.7,31,645,426,219,52,26,26
"Valencia",53,46,31,83,9,7,563,181,32.1,0.08,0.25,18.5,37,1008,725,283,87,51,36
"Valladolid",43,32,26,69,8,7,465,131,28.2,0.08,0.27,18.7,22,826,572,254,72,55,17
"Villarreal",49,63,35,82,9,8,474,155,32.7,0.08,0.25,18.4,23,863,625,238,83,53,30
