"Squad","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Alavés",34,70,73.1,14,36.8,0,0
"Athletic Club",41,94,75.7,13,34.2,2,20
"Atlético Madrid",51,92,68.8,9,23.7,2,25
"Barcelona",86,135,63.5,6,15.8,0,0
"Betis",48,110,73.6,10,26.3,1,14.3
"Celta Vigo",37,100,77.9,14,36.8,3,33.3
"Eibar",39,101,77.5,15,39.5,3,30
"Espanyol",27,99,81.5,18,47.4,0,0
"Getafe",43,85,70.9,14,36.8,0,0
"Granada",52,73,61.8,10,26.3,0,0
"Leganés",30,116,81.8,16,42.1,1,25
"Levante",47,93,69.6,11,28.9,0,0
"Mallorca",40,87,74.8,18,47.4,1,11.1
"Osasuna",46,104,74.7,12,31.6,0,0
"Real Madrid",70,164,74.7,6,15.8,0,0
"Real Sociedad",56,89,63.9,7,18.4,1,20
"Sevilla",54,118,72.5,4,10.5,0,0
"Valencia",46,71,65.3,9,23.7,2,28.6
"Valladolid",32,88,76,15,39.5,2,40
"Villarreal",63,108,69,3,7.9,1,9.1
