"Squad","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Alavés",656,1548,15671,20109,77.9,6754,7797,86.6,1942,3427,56.7,6374,7561,84.3,18001,2016,631,43,269,695,907,176,92,58.5,23863,619,364,58.8,255,41.2
"Athletic Club",615,1390,13649,18082,75.5,6206,7231,85.8,1666,3162,52.7,5280,6511,81.1,16006,2005,558,32,208,737,876,173,71,51.3,21884,614,396,64.5,217,35.3
"Atlético Madrid",619,1523,14900,19126,77.9,6444,7434,86.7,2007,3500,57.3,5943,7046,84.3,17114,1978,598,15,243,728,769,180,34,51.4,23174,640,357,55.8,283,44.2
"Barcelona",576,1003,10889,14303,76.1,5128,5926,86.5,1301,2487,52.3,4001,4816,83.1,12675,1560,465,26,159,560,564,137,68,33.6,18087,501,290,57.9,211,42.1
"Betis",613,1263,11625,15463,75.2,5043,5816,86.7,1552,2976,52.2,4579,5561,82.3,13476,1862,519,31,172,708,740,202,125,43.3,19236,511,290,56.8,221,43.2
"Celta Vigo",679,1436,13456,17544,76.7,6243,7168,87.1,1611,3054,52.8,5045,6092,82.8,15616,1862,511,19,206,783,838,206,66,48.4,21488,615,364,59.2,251,40.8
"Eibar",561,1177,13273,18285,72.6,5931,7081,83.8,1801,3578,50.3,5059,6351,79.7,15925,2239,580,49,231,630,1037,189,121,53.7,22447,607,343,56.5,264,43.5
"Espanyol",688,1452,13993,18345,76.3,6503,7537,86.3,1645,3189,51.6,5361,6468,82.9,16269,2005,608,40,235,646,833,169,71,52.6,22320,701,444,63.3,257,36.7
"Getafe",376,1089,11770,16917,69.6,5239,6390,82,1621,3378,48,4359,5709,76.4,14498,2276,782,39,190,505,947,132,143,55,21102,574,338,58.9,235,40.9
"Granada",672,1397,14365,18617,77.2,6722,7662,87.7,1632,3098,52.7,5544,6693,82.8,16434,2108,617,36,215,724,942,181,75,56.2,22510,570,332,58.2,238,41.8
"Leganés",632,1423,15049,19534,77,6509,7555,86.2,1834,3433,53.4,6127,7287,84.1,17372,2094,632,23,273,636,920,153,68,56.1,23472,610,356,58.4,254,41.6
"Levante",741,1499,13838,17798,77.8,6315,7179,88,1721,3132,54.9,5298,6393,82.9,15792,1920,508,36,194,854,803,219,86,51.7,21696,532,328,61.7,204,38.3
"Mallorca",774,1681,15595,19483,80,6807,7785,87.4,1796,3065,58.6,6476,7483,86.5,17602,1827,526,32,173,737,726,177,54,55,23484,602,375,62.3,227,37.7
"Osasuna",581,1311,13039,17987,72.5,6047,7118,85,1608,3434,46.8,4939,6217,79.4,15674,2193,592,52,171,666,1009,176,120,52.6,22151,617,350,56.7,267,43.3
"Real Madrid",604,1211,12998,16712,77.8,6010,6812,88.2,1433,2719,52.7,5025,5948,84.5,14786,1862,549,26,161,621,726,148,64,41.2,20543,595,369,62,226,38
"Real Sociedad",546,1133,11671,15849,73.6,5293,6157,86,1526,3060,49.9,4408,5497,80.2,13840,1914,553,28,195,590,835,147,95,43.8,19876,573,321,56,252,44
"Sevilla",552,1138,11772,15845,74.3,5296,6178,85.7,1403,2908,48.2,4555,5583,81.6,13850,1929,572,36,135,606,808,146,66,42.1,19982,661,400,60.5,261,39.5
"Valencia",863,1698,15727,19444,80.9,7636,8502,89.8,1662,2975,55.9,5900,6868,85.9,17692,1695,464,34,206,826,697,178,57,51,23063,590,357,60.5,232,39.3
"Valladolid",797,1764,15445,19675,78.5,7076,8132,87,1705,3024,56.4,6084,7219,84.3,17690,1939,526,39,186,781,865,195,46,55.3,23568,672,433,64.4,239,35.6
"Villarreal",676,1465,13964,18041,77.4,6347,7237,87.7,1757,3206,54.8,5333,6425,83,15998,1953,514,27,211,838,811,226,90,47.1,21804,602,384,63.8,218,36.2
