"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Alavés",111,7,3,10,621
"Athletic Club",90,2,0,2,522
"Atlético Madrid",93,3,2,5,513
"Barcelona",92,6,3,9,416
"Betis",108,9,3,12,473
"Celta Vigo",104,6,3,9,473
"Eibar",92,3,2,5,538
"Espanyol",107,9,6,15,581
"Getafe",135,5,2,7,706
"Granada",109,1,1,2,590
"Leganés",127,4,2,6,591
"Levante",79,5,4,9,468
"Mallorca",93,5,4,9,509
"Osasuna",110,6,3,9,551
"Real Madrid",82,4,3,7,487
"Real Sociedad",79,2,2,4,501
"Sevilla",97,1,1,2,522
"Valencia",80,8,3,11,416
"Valladolid",84,0,0,0,484
"Villarreal",78,1,0,1,483
