"Squad","Player_Count","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Alavés",32,403,944,9612,13973,68.8,4283,5328,80.4,1385,2920,47.4,3614,4788,75.5,11911,2001,543,17,108,562,881,136,61,41.5,17865,497,251,50.5,246,49.5
"Athletic Club",26,604,1291,12533,16915,74.1,5521,6494,85,1830,3367,54.4,4692,5831,80.5,14889,1942,517,14,200,754,874,178,84,48.7,20857,587,337,57.4,250,42.6
"Atlético Madrid",30,598,1333,13595,17765,76.5,6783,7777,87.2,1344,2676,50.2,4581,5696,80.4,15735,1914,511,62,123,574,835,183,116,48.6,21860,543,348,64.1,195,35.9
"Barcelona",28,923,2042,24758,28227,87.7,12607,13663,92.3,1889,2618,72.2,9115,9972,91.4,26418,1726,573,86,183,417,638,185,83,66.4,31713,793,524,66.1,269,33.9
"Betis",27,834,1475,16182,19823,81.6,7354,8220,89.5,1774,2986,59.4,6504,7416,87.7,17676,2063,699,30,205,624,799,185,84,56.7,23715,713,445,62.4,268,37.6
"Celta Vigo",30,670,1364,14552,18557,78.4,6742,7687,87.7,1422,2704,52.6,5746,6750,85.1,16543,1944,593,38,138,636,749,176,70,51.7,22576,610,370,60.7,240,39.3
"Eibar",26,424,1265,10439,15551,67.1,4422,5456,81,1713,3829,44.7,4008,5354,74.9,13381,2097,531,11,221,870,1015,189,73,46.3,19501,458,260,56.8,198,43.2
"Espanyol",31,561,1240,11881,16363,72.6,4830,5791,83.4,1528,3235,47.2,5174,6369,81.2,14389,1909,543,19,146,710,800,156,65,47.4,20282,489,281,57.5,208,42.5
"Getafe",30,416,1196,8319,13715,60.7,3535,4713,75,1466,3508,41.8,2977,4408,67.5,11368,2241,630,27,215,833,1094,185,106,45,17737,476,274,57.6,202,42.4
"Granada",27,511,1009,9810,14105,69.5,3970,4840,82,1486,3136,47.4,3979,5089,78.2,12058,1977,582,16,133,670,825,163,70,43.8,18071,553,300,54.2,253,45.8
"Leganés",29,498,1165,10336,14838,69.7,4801,5718,84,1390,3161,44,3782,4953,76.4,12774,1989,565,20,160,771,886,157,75,43.9,18841,581,342,58.9,239,41.1
"Levante",29,711,1358,12415,16332,76,5677,6494,87.4,1611,3073,52.4,4771,5765,82.8,14321,1930,548,34,227,697,749,189,81,48.3,20210,637,386,60.6,251,39.4
"Mallorca",32,740,1210,11782,15636,75.4,5648,6558,86.1,1275,2576,49.5,4220,5197,81.2,13615,1963,577,18,119,682,793,171,58,45,19626,709,392,55.3,317,44.7
"Osasuna",31,562,1359,10959,15904,68.9,4772,5858,81.5,1654,3435,48.2,4189,5547,75.5,13788,2036,533,16,192,755,926,180,80,47.4,20122,525,315,60,210,40
"Real Madrid",26,951,1972,20107,23733,84.7,9829,10697,91.9,2405,3556,67.6,7274,8243,88.2,21828,1821,534,59,445,776,786,192,84,58.8,27693,769,484,62.9,285,37.1
"Real Sociedad",27,737,1588,15989,20229,79,6898,7968,86.6,1568,2851,55,7100,8250,86.1,18172,1979,598,54,115,719,868,181,78,56.2,24037,591,355,60.1,234,39.6
"Sevilla",26,803,1823,17525,21733,80.6,7645,8604,88.9,2222,3526,63,7011,8197,85.5,19673,1968,553,30,384,880,837,226,92,57.9,25650,667,413,61.9,254,38.1
"Valencia",28,671,1378,14490,18258,79.4,6320,7145,88.5,1705,3096,55.1,5926,6878,86.2,16284,1874,591,46,238,677,688,169,100,49,21847,549,345,62.8,203,37
"Valladolid",30,510,1106,11187,15457,72.4,4901,5779,84.8,1531,3230,47.4,4401,5426,81.1,13389,1987,574,24,214,645,806,161,81,44.7,19410,569,338,59.4,231,40.6
"Villarreal",25,694,1483,16218,20045,80.9,7011,7907,88.7,2025,3322,61,6626,7599,87.2,18098,1876,510,42,267,619,804,148,71,52.9,24137,690,431,62.5,259,37.5
