"Squad","Total_Goals_Scored","Total_Goals_Conceded","Goal_Difference","Home_Goals_Scored","Home_Goals_Conceded","Home_Goal_Difference","Away_Goals_Scored","Away_Goals_Conceded","Away_Goal_Difference","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Alavés",34,59,-25,20,19,1,14,40,-26,20,54,6,6,307,98,31.9,0.09,0.29,16.7,11,537,333,204,58,31,27
"Athletic Club",41,38,3,21,14,7,20,24,-4,23,63,10,8,401,126,31.4,0.08,0.25,18.8,16,690,469,221,65,43,22
"Atlético Madrid",51,27,24,28,11,17,23,16,7,35,85,8,6,440,136,30.9,0.1,0.32,17.3,14,790,546,244,86,56,30
"Barcelona",86,38,48,52,16,36,34,22,12,62,146,6,6,488,213,43.6,0.16,0.37,17.4,46,903,678,225,150,114,36
"Betis",48,60,-12,34,27,7,14,33,-19,35,83,8,6,471,152,32.3,0.09,0.28,18.4,20,837,611,226,75,52,23
"Celta Vigo",37,49,-12,22,20,2,15,29,-14,26,63,9,6,359,131,36.5,0.09,0.24,18.8,23,659,477,182,67,43,24
"Eibar",39,56,-17,25,25,0,14,31,-17,24,62,10,7,419,132,31.5,0.07,0.23,18.9,21,709,450,259,63,38,25
"Espanyol",27,58,-31,15,31,-16,12,27,-15,17,42,4,4,407,120,29.5,0.05,0.18,19.1,20,691,469,222,44,26,18
"Getafe",43,37,6,25,20,5,18,17,1,31,73,7,6,408,121,29.7,0.09,0.3,18.6,31,691,464,227,70,43,27
"Granada",52,45,7,26,16,10,26,29,-3,34,84,5,5,389,118,30.3,0.12,0.38,19,25,670,434,236,86,52,34
"Leganés",30,51,-21,17,26,-9,13,25,-12,19,49,5,3,427,143,33.5,0.06,0.19,19.2,29,752,509,243,54,38,16
"Levante",47,53,-6,27,19,8,20,34,-14,28,73,5,5,422,133,31.5,0.09,0.3,19,21,746,547,199,79,52,27
"Mallorca",40,65,-25,25,22,3,15,43,-28,21,60,10,8,410,118,28.8,0.08,0.26,19.2,22,742,510,232,64,41,23
"Osasuna",46,54,-8,26,29,-3,20,25,-5,26,72,8,8,455,142,31.2,0.08,0.27,18.7,22,783,553,230,73,49,24
"Real Madrid",70,25,45,40,11,29,30,14,16,52,121,11,11,552,222,40.2,0.11,0.26,18,18,1021,780,241,125,90,35
"Real Sociedad",56,48,8,33,20,13,23,28,-5,38,92,5,4,424,139,32.8,0.12,0.36,17.7,12,744,550,194,92,69,23
"Sevilla",54,34,20,26,14,12,28,20,8,35,88,7,7,484,164,33.9,0.1,0.28,16.7,17,873,636,237,89,58,31
"Valencia",46,53,-7,29,16,13,17,37,-20,34,79,8,5,331,111,33.5,0.12,0.36,18,18,612,445,167,80,56,24
"Valladolid",32,43,-11,18,15,3,14,28,-14,19,50,6,3,369,116,31.4,0.08,0.24,20,29,647,453,194,53,34,19
"Villarreal",63,49,14,37,25,12,26,24,2,40,102,11,10,483,160,33.1,0.11,0.33,18.2,15,864,642,222,108,71,37
