"Squad","Player_Count","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Alavés",33,420,984,9676,14175,68.3,4158,5174,80.4,1524,3158,48.3,3774,4954,76.2,12142,1961,543,27,188,758,825,139,72,42,18371,504,271,53.8,233,46.2
"Athletic Club",26,653,1572,12947,17283,74.9,5845,6826,85.6,1437,2830,50.8,5198,6434,80.8,15195,1999,552,42,184,798,880,224,89,48.1,21254,530,297,56,232,43.8
"Atlético Madrid",26,705,1463,15076,19098,78.9,7378,8289,89,1640,3060,53.6,5269,6266,84.1,17082,1931,534,80,228,703,832,201,85,50.6,23038,600,383,63.8,217,36.2
"Barcelona",38,961,2079,21489,25006,85.9,10207,11109,91.9,1949,2912,66.9,8433,9401,89.7,23093,1814,567,90,193,798,712,219,99,64.2,28778,747,474,63.5,273,36.5
"Betis",31,666,1518,15702,19444,80.8,7360,8284,88.8,1583,2873,55.1,6318,7309,86.4,17513,1860,586,66,181,547,749,174,71,53.7,23691,655,372,56.8,283,43.2
"Cádiz",33,571,1080,10136,14415,70.3,4254,5031,84.6,1552,3292,47.1,3979,5054,78.7,12460,1886,511,37,183,865,795,181,69,41.3,18574,519,281,54.1,238,45.9
"Celta Vigo",25,665,1447,16007,20591,77.7,6936,7982,86.9,1837,3366,54.6,6579,7795,84.4,18578,1930,501,60,169,768,898,167,83,55.2,24789,591,346,58.5,244,41.3
"Elche",28,531,1102,12948,16836,76.9,5745,6572,87.4,1676,3129,53.6,5080,6020,84.4,14819,1943,591,34,180,720,763,155,74,48.4,20889,597,339,56.8,258,43.2
"Espanyol",34,610,1212,13360,16919,79,6031,6763,89.2,1475,2817,52.4,5391,6281,85.8,15003,1846,590,29,196,627,659,172,70,46.9,20970,616,373,60.6,243,39.4
"Getafe",31,399,917,10278,14607,70.4,4550,5489,82.9,1516,3176,47.7,3938,5092,77.3,12625,1929,579,17,194,621,842,136,53,41.5,18658,452,242,53.5,210,46.5
"Granada",32,435,1047,10582,14889,71.1,4550,5400,84.3,1460,3218,45.4,4234,5295,80,12856,1971,544,28,142,691,791,159,62,44.7,19055,495,270,54.5,225,45.5
"Levante",31,569,1343,12584,16422,76.6,5742,6544,87.7,1501,2917,51.5,4982,5929,84,14508,1837,477,50,183,624,769,168,77,47.2,20500,683,348,51,335,49
"Mallorca",33,575,1129,11046,15023,73.5,5149,6054,85.1,1312,2691,48.8,4101,5153,79.6,13022,1934,575,44,113,597,788,159,67,45.3,19305,612,368,60.1,244,39.9
"Osasuna",29,417,1328,11904,16522,72,5076,6144,82.6,1702,3278,51.9,4756,6063,78.4,14470,1986,473,16,195,864,932,179,66,46.9,20565,467,261,55.9,206,44.1
"Rayo Vallecano",28,697,1312,12747,16933,75.3,5524,6408,86.2,1719,3277,52.5,5119,6188,82.7,14830,2020,553,38,161,862,906,190,83,49.9,21279,639,357,55.9,282,44.1
"Real Madrid",31,1029,2078,21373,24517,87.2,10630,11395,93.3,1987,2902,68.5,7948,8751,90.8,22705,1706,491,71,309,611,639,218,106,59.9,28389,780,456,58.5,324,41.5
"Real Sociedad",32,667,1462,15403,19304,79.8,6964,7887,88.3,1569,2800,56,6383,7429,85.9,17333,1895,537,45,96,638,829,186,76,54.3,23452,670,360,53.7,310,46.3
"Sevilla",33,625,1596,18327,22234,82.4,7686,8529,90.1,2275,3745,60.7,7941,8940,88.8,20265,1889,526,37,312,787,844,175,80,59.4,25980,588,305,51.9,283,48.1
"Valencia",34,554,1202,9627,13777,69.9,3923,4782,82,1506,3098,48.6,3835,4951,77.5,11686,2039,664,32,227,765,811,175,52,43.6,17905,642,360,56.1,282,43.9
"Villarreal",29,790,1698,16679,20401,81.8,7388,8290,89.1,1669,2743,60.8,7135,8109,88,18435,1875,582,90,166,574,737,200,91,56.8,24258,746,450,60.3,296,39.7
