"Squad","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Alavés",656,1568,15404,19908,77.4,7074,8103,87.3,1768,3310,53.4,5979,7189,83.2,17714,2105,567,77,202,789,962,231,89,58.2,24006,638,375,58.8,262,41.1
"Athletic Club",586,1379,14696,18950,77.6,6260,7140,87.7,2048,3642,56.2,5962,7115,83.8,16909,1974,551,29,332,754,859,161,67,51.9,23145,582,358,61.5,224,38.5
"Atlético Madrid",495,1320,14882,18803,79.1,6571,7450,88.2,1763,3155,55.9,6101,7135,85.5,16917,1850,529,32,209,601,729,149,36,49.4,22840,619,326,52.7,293,47.3
"Barcelona",448,938,10460,13908,75.2,4733,5441,87,1381,2671,51.7,3959,4789,82.7,12019,1811,571,39,128,500,644,128,78,35.2,18008,493,249,50.5,244,49.5
"Betis",686,1375,13052,16934,77.1,5986,6800,88,1531,2849,53.7,5058,6097,83,14870,1935,530,43,168,764,808,215,129,45.9,21018,695,371,53.4,324,46.6
"Cádiz",735,1805,16729,20783,80.5,7875,8901,88.5,1663,2923,56.9,6714,7838,85.7,18843,1877,515,50,183,750,806,176,63,59.1,24939,712,410,57.6,302,42.4
"Celta Vigo",547,1251,12362,16708,74,5369,6407,83.8,1613,3048,52.9,4961,6088,81.5,14678,1995,562,22,184,609,925,146,35,44.4,21082,762,476,62.5,286,37.5
"Elche",657,1477,14329,18212,78.7,6340,7186,88.2,1633,2988,54.7,5813,6829,85.1,16269,1839,547,78,195,767,775,195,104,51.6,22214,623,354,56.8,268,43
"Espanyol",800,1705,15516,19314,80.3,7112,7983,89.1,1748,2957,59.1,6148,7212,85.2,17461,1767,487,56,190,888,716,223,86,52.9,23110,646,371,57.4,275,42.6
"Getafe",612,1521,16725,21156,79.1,7102,8082,87.9,2111,3622,58.3,6938,8090,85.8,19121,1926,575,58,282,752,846,186,109,58.8,25022,594,346,58.2,248,41.8
"Granada",706,1611,14611,18856,77.5,6498,7472,87,1731,3199,54.1,5971,7050,84.7,16832,1955,504,56,176,824,850,205,69,66,22987,632,358,56.6,274,43.4
"Levante",716,1448,14699,18611,79,7006,7884,88.9,1615,3015,53.6,5539,6557,84.5,16649,1884,598,54,205,697,713,185,78,53.1,22619,611,374,61.2,237,38.8
"Mallorca",650,1379,14388,18463,77.9,6448,7397,87.2,1606,3001,53.5,5850,6917,84.6,16519,1887,590,44,155,738,789,161,57,54.9,22593,551,303,55,248,45
"Osasuna",722,1330,14630,19149,76.4,6586,7550,87.2,1602,3263,49.1,5894,7112,82.9,17058,2009,543,50,195,719,867,184,82,53.3,23306,598,347,58,251,42
"Rayo Vallecano",603,1330,12928,17259,74.9,5832,6766,86.2,1591,3174,50.1,5108,6181,82.6,15156,2049,591,54,156,659,867,177,54,50.1,21403,688,408,59.3,280,40.7
"Real Madrid",632,1257,13258,16452,80.6,6260,6951,90.1,1529,2706,56.5,5038,5817,86.6,14707,1715,472,41,171,670,615,153,30,34,20331,502,291,58,211,42
"Real Sociedad",587,1206,12311,16279,75.6,5444,6285,86.6,1509,2989,50.5,4887,5872,83.2,14226,1967,540,36,160,662,914,174,86,45.3,20488,546,286,52.4,260,47.6
"Sevilla",521,1182,11300,15095,74.9,5021,5924,84.8,1367,2778,49.2,4475,5445,82.2,13204,1838,516,30,143,647,749,158,53,40.2,19020,542,306,56.5,236,43.5
"Valencia",597,1392,13730,17920,76.6,6345,7234,87.7,1618,3095,52.3,5254,6418,81.9,15730,2093,655,50,198,679,896,172,97,56.4,21974,623,357,57.3,266,42.7
"Villarreal",583,1095,11881,15636,76,5234,5996,87.3,1462,2897,50.5,4744,5663,83.8,13738,1775,533,34,168,749,671,198,123,43,19595,476,247,51.9,229,48.1
