"Squad","Rank","Wins","Draws","Losses","Pts","Home_Wins","Away_Wins","Home_Draws","Away_Draws","Home_Losses","Away_Losses","Home_Pts","Away_Pts"
"Real Madrid",1,26,8,4,86,13,13,5,3,1,3,44,42
"Barcelona",2,21,10,7,73,12,9,2,8,5,2,38,35
"Atlético Madrid",3,21,8,9,71,12,9,5,3,2,7,41,30
"Sevilla",4,18,16,4,70,12,6,6,10,1,3,42,28
"Betis",5,19,8,11,65,10,9,2,6,7,4,32,33
"Real Sociedad",6,17,11,10,62,10,7,5,6,4,6,35,27
"Villarreal",7,16,11,11,59,10,6,6,5,3,8,36,23
"Athletic Club",8,14,13,11,55,10,4,4,9,5,6,34,21
"Valencia",9,11,15,12,48,6,5,8,7,5,7,26,22
"Osasuna",10,12,11,15,47,5,7,7,4,7,8,22,25
"Celta Vigo",11,12,10,16,46,7,5,4,6,8,8,25,21
"Rayo Vallecano",12,11,9,18,42,8,3,5,4,6,12,29,13
"Elche",13,11,9,18,42,7,4,6,3,6,12,27,15
"Espanyol",14,10,12,16,42,9,1,6,6,4,12,33,9
"Getafe",15,8,15,15,39,7,1,7,8,5,10,28,11
"Mallorca",16,10,9,19,39,7,3,6,3,6,13,27,12
"Cádiz",17,8,15,15,39,3,5,9,6,7,8,18,21
"Granada",18,8,14,16,38,5,3,7,7,7,9,22,16
"Levante",19,8,11,19,35,5,3,7,4,7,12,22,13
"Alavés",20,8,7,23,31,7,1,4,3,8,15,25,6
