"Squad","Goalkeepers_Used","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Alavés",3,65,100,64.9,6,15.8,3,33.3
"Athletic Club",2,36,96,74.8,13,34.2,0,0
"Atlético Madrid",1,43,65,66,12,31.6,1,12.5
"Barcelona",2,38,84,70.7,11,28.9,1,33.3
"Betis",2,40,94,72,13,34.2,0,0
"Cádiz",1,51,117,76.5,13,34.2,2,15.4
"Celta Vigo",1,43,91,71.3,14,36.8,4,50
"Elche",2,52,121,74.1,8,21.1,1,12.5
"Espanyol",3,53,118,71,10,26.3,0,0
"Getafe",2,41,91,70.5,14,36.8,1,33.3
"Granada",2,61,132,72,8,21.1,2,22.2
"Levante",4,76,126,65,7,18.4,1,16.7
"Mallorca",4,63,91,62.5,9,23.7,2,25
"Osasuna",2,51,99,68.9,12,31.6,3,42.9
"Rayo Vallecano",2,50,112,73.6,9,23.7,2,22.2
"Real Madrid",2,31,97,78.3,16,42.1,2,40
"Real Sociedad",2,37,89,74.8,20,52.6,1,16.7
"Sevilla",3,30,90,76.9,17,44.7,1,33.3
"Valencia",3,53,112,71.8,12,31.6,1,12.5
"Villarreal",2,37,91,74.2,14,36.8,1,20
