"Squad","Total_Goals_Scored","Total_Goals_Conceded","Assists","Goals+Assists","Penalty_Attempts","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Alavés",65,31,48,113,9,6,509,159,31.2,0.12,0.37,17.3,20,905,646,259,112,84,28
"Athletic Club",36,43,26,61,3,3,440,128,29.1,0.07,0.25,18.5,20,776,566,210,59,45,14
"Atlético Madrid",43,65,28,68,8,7,349,98,28.1,0.09,0.34,19.2,17,613,415,198,66,39,27
"Barcelona",38,68,27,65,3,2,349,120,34.4,0.1,0.3,18.1,13,602,421,181,62,38,24
"Betis",40,62,29,67,3,3,430,129,30,0.08,0.27,17.3,11,745,524,221,67,52,15
"Cádiz",51,35,31,82,13,11,461,157,34.1,0.09,0.25,18.5,20,845,579,266,85,50,35
"Celta Vigo",43,43,29,70,8,4,397,128,32.2,0.09,0.29,18,16,709,478,231,71,45,26
"Elche",52,40,41,93,9,7,513,166,32.4,0.09,0.27,18,23,916,652,264,89,59,30
"Espanyol",53,40,39,90,5,4,497,165,33.2,0.09,0.28,17.2,14,883,666,217,89,70,19
"Getafe",41,33,30,70,4,2,408,129,31.6,0.09,0.29,19,22,715,505,210,70,56,14
"Granada",61,44,46,105,9,7,555,184,33.2,0.09,0.28,17.9,15,983,696,287,100,62,38
"Levante",76,51,59,135,6,5,508,197,38.8,0.14,0.36,17.8,15,905,658,247,132,93,39
"Mallorca",63,36,40,99,8,6,460,144,31.3,0.12,0.37,17.8,14,813,581,232,101,73,28
"Osasuna",51,37,37,86,7,4,437,144,33,0.1,0.31,18.9,8,763,561,202,88,58,30
"Rayo Vallecano",50,39,33,82,9,7,405,154,38,0.1,0.27,18.1,17,728,509,219,88,55,33
"Real Madrid",31,80,20,51,5,3,428,124,29,0.07,0.23,18.7,14,749,534,215,56,36,20
"Real Sociedad",37,40,28,65,6,5,413,121,29.3,0.08,0.26,18.7,15,748,535,213,67,47,20
"Sevilla",30,53,19,49,4,2,420,118,28.1,0.07,0.24,18.7,15,699,501,198,50,27,23
"Valencia",53,48,34,84,8,7,437,155,35.5,0.1,0.28,18.1,19,764,529,235,83,56,27
"Villarreal",37,63,20,56,5,4,410,123,30,0.08,0.26,18.6,13,697,494,203,55,36,19
