"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Alavés",511,273,53.4246575342466,504,504,46.2,351,87,264,311,729,12
"Athletic Club",573,353,61.6055846422339,529,529,43.9,393,131,262,387,817,14
"Atlético Madrid",570,309,54.2105263157895,600,600,36.2,364,103,261,404,803,10
"Barcelona",631,352,55.784469096672,747,747,36.5,376,109,267,392,809,10
"Betis",647,370,57.1870170015456,654,654,43.1,416,135,281,375,614,11
"Cádiz",529,312,58.9792060491493,519,519,45.9,328,89,239,323,792,12
"Celta Vigo",554,324,58.4837545126354,590,590,41.4,410,97,313,454,776,14
"Elche",588,346,58.843537414966,597,597,43.2,363,87,276,359,617,9
"Espanyol",574,350,60.9756097560976,616,616,39.4,338,98,240,287,591,4
"Getafe",511,279,54.5988258317025,452,452,46.5,343,106,237,357,668,8
"Granada",546,280,51.2820512820513,495,495,45.5,359,106,253,307,662,11
"Levante",637,384,60.2825745682889,683,683,49,379,107,272,327,621,17
"Mallorca",648,351,54.1666666666667,612,612,39.9,377,121,256,306,746,10
"Osasuna",515,326,63.3009708737864,467,467,44.1,355,99,256,353,843,15
"Rayo Vallecano",653,391,59.8774885145482,639,639,44.1,400,130,270,343,711,15
"Real Madrid",601,346,57.5707154742096,780,780,41.5,443,161,282,342,696,16
"Real Sociedad",701,415,59.2011412268188,670,670,46.3,424,117,307,339,693,9
"Sevilla",609,353,57.9638752052545,588,588,48.1,344,91,253,348,748,8
"Valencia",576,335,58.1597222222222,642,642,43.9,314,90,224,286,795,7
"Villarreal",628,380,60.5095541401274,746,746,39.7,469,112,357,387,690,11
