"Squad","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Alavés",31,88,78.8,16,42.1,1,14.3
"Athletic Club",43,113,74.5,14,36.8,4,57.1
"Atlético Madrid",65,93,61.1,7,18.4,1,20
"Barcelona",68,115,66.3,8,21.1,1,14.3
"Betis",62,128,70.2,11,28.9,0,0
"Cádiz",35,86,74.2,13,34.2,3,50
"Celta Vigo",43,96,71.6,15,39.5,3,50
"Elche",40,68,63.6,12,31.6,0,0
"Espanyol",40,94,73.7,10,26.3,0,0
"Getafe",33,83,74.1,18,47.4,2,40
"Granada",44,91,69.4,13,34.2,0,0
"Levante",51,103,72.8,12,31.6,4,33.3
"Mallorca",36,104,78.3,15,39.5,1,14.3
"Osasuna",37,83,74.6,15,39.5,2,25
"Rayo Vallecano",39,99,74.5,14,36.8,0,0
"Real Madrid",80,171,71.7,8,21.1,3,27.3
"Real Sociedad",40,112,79.7,11,28.9,1,10
"Sevilla",53,90,64.1,7,18.4,1,33.3
"Valencia",48,92,71,8,21.1,1,11.1
"Villarreal",63,107,65.9,11,28.9,1,16.7
