"Squad","Total_Goals_Scored","Total_Goals_Conceded","Goal_Difference","Home_Goals_Scored","Home_Goals_Conceded","Home_Goal_Difference","Away_Goals_Scored","Away_Goals_Conceded","Away_Goal_Difference","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Alavés",36,46,-10,23,19,4,13,27,-14,28,61,7,3,458,136,29.7,0.07,0.22,17.7,15,817,563,254,60,39,21
"Almería",43,75,-32,22,36,-14,21,39,-18,25,67,2,2,478,163,34.1,0.08,0.25,18.8,18,823,586,237,70,45,25
"Athletic Club",61,37,24,42,18,24,19,19,0,41,100,5,3,458,163,35.6,0.12,0.34,15.9,7,817,612,205,103,83,20
"Atlético Madrid",70,43,27,42,22,20,28,21,7,48,116,6,5,475,197,41.5,0.13,0.32,16.2,9,852,650,202,120,94,26
"Barcelona",79,44,35,43,21,22,36,23,13,55,131,7,6,588,219,37.2,0.12,0.32,16.5,21,1063,798,265,136,105,31
"Betis",48,45,3,27,19,8,21,26,-5,31,77,3,2,489,150,30.7,0.09,0.29,17.2,15,870,632,238,78,57,21
"Cádiz",26,55,-29,16,19,-3,10,36,-26,17,42,3,3,395,120,30.4,0.06,0.18,18.4,21,698,478,220,40,25,15
"Celta Vigo",46,57,-11,21,23,-2,25,34,-9,35,80,5,3,467,151,32.3,0.09,0.28,17.5,14,855,645,210,81,63,18
"Getafe",42,54,-12,20,22,-2,22,32,-10,27,69,7,6,446,150,33.6,0.08,0.24,18.6,14,766,531,235,69,40,29
"Girona",85,46,39,53,20,33,32,26,6,64,148,8,7,476,178,37.4,0.16,0.43,16.4,13,872,674,198,152,119,33
"Granada",38,79,-41,24,32,-8,14,47,-33,27,62,8,5,394,123,31.2,0.08,0.24,17.8,15,708,475,233,63,45,18
"Las Palmas",33,47,-14,20,20,0,13,27,-14,23,56,5,3,386,120,31.1,0.08,0.25,20.1,21,707,560,147,60,49,11
"Mallorca",33,44,-11,17,16,1,16,28,-12,27,60,3,1,415,131,31.6,0.08,0.24,16.8,4,734,501,233,57,33,24
"Osasuna",45,56,-11,19,26,-7,26,30,-4,32,77,5,4,421,124,29.5,0.1,0.33,17.9,14,714,505,209,73,45,28
"Rayo Vallecano",29,48,-19,18,26,-8,11,22,-11,12,41,6,6,487,160,32.9,0.05,0.14,20.8,47,815,548,267,40,21,19
"Real Madrid",87,26,61,48,9,39,39,17,22,66,151,5,2,593,242,40.8,0.14,0.34,17.5,24,1082,813,269,154,113,41
"Real Sociedad",51,39,12,26,20,6,25,19,6,36,84,4,4,457,147,32.2,0.1,0.3,17.8,24,775,528,247,79,54,25
"Sevilla",48,54,-6,27,27,0,21,27,-6,30,76,2,2,487,160,32.9,0.09,0.28,17.5,15,874,641,233,84,62,22
"Valencia",40,45,-5,20,14,6,20,31,-11,24,63,9,8,368,123,33.4,0.08,0.25,18.7,16,670,478,192,66,47,19
"Villarreal",65,65,0,36,32,4,29,33,-4,47,111,7,5,462,163,35.3,0.13,0.36,16.2,8,855,624,231,111,77,34
