"Squad","Goalkeepers_Used","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Alavés",2,46,103,74.1,11,28.9,0,0
"Almería",3,75,126,65.8,6,15.8,1,14.3
"Athletic Club",2,37,98,73.1,18,47.4,3,75
"Atlético Madrid",1,43,101,70.8,13,34.2,0,0
"Barcelona",2,44,97,70.2,17,44.7,0,0
"Betis",3,45,115,75.9,13,34.2,1,12.5
"Cádiz",2,55,121,69.7,10,26.3,0,0
"Celta Vigo",2,57,109,68.9,6,15.8,1,14.3
"Getafe",2,54,118,71.7,10,26.3,1,16.7
"Girona",1,46,121,75.6,12,31.6,1,16.7
"Granada",4,79,126,63.5,3,7.9,0,0
"Las Palmas",2,47,109,73.1,8,21.1,3,37.5
"Mallorca",3,44,104,73,10,26.3,1,20
"Osasuna",2,56,95,63.8,10,26.3,1,50
"Rayo Vallecano",2,48,104,68.9,13,34.2,1,50
"Real Madrid",3,26,93,78.8,21,55.3,0,0
"Real Sociedad",2,39,96,75.6,15,39.5,1,14.3
"Sevilla",3,54,123,72,8,21.1,0,0
"Valencia",3,45,114,73.8,13,34.2,3,50
"Villarreal",2,65,150,72.4,6,15.8,0,0
