"Squad","Total_Goals_Scored","Total_Goals_Conceded","Assists","Goals+Assists","Penalty_Attempts","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Alavés",46,36,29,73,8,8,444,139,31.3,0.08,0.26,17.9,15,820,597,223,81,55,26
"Almería",75,43,56,131,9,6,584,195,33.4,0.12,0.35,16.9,18,1074,773,301,128,97,31
"Athletic Club",37,61,27,60,5,1,405,130,32.1,0.08,0.25,18.3,18,734,524,210,60,43,17
"Atlético Madrid",43,70,33,76,2,1,451,143,31.7,0.09,0.29,17.9,9,787,577,210,75,55,20
"Barcelona",44,79,35,79,2,2,411,139,33.8,0.1,0.3,17.4,8,723,538,185,81,63,18
"Betis",45,48,23,65,8,7,441,150,34,0.08,0.23,18.2,18,786,537,249,74,46,28
"Cádiz",55,26,37,91,2,2,508,173,34.1,0.1,0.3,18.3,26,909,671,238,91,67,24
"Celta Vigo",57,46,32,86,8,6,470,157,33.4,0.1,0.31,16.6,13,844,584,260,92,59,33
"Getafe",54,42,37,91,7,5,448,167,37.3,0.11,0.29,17.7,15,805,571,234,95,64,31
"Girona",46,85,30,76,7,5,503,162,32.2,0.08,0.25,17.5,13,882,650,232,70,47,23
"Granada",79,38,54,131,6,5,488,198,40.6,0.15,0.36,17.5,20,860,630,230,133,95,38
"Las Palmas",47,33,33,77,9,5,433,148,34.2,0.09,0.26,17.4,15,766,535,231,83,60,23
"Mallorca",44,33,29,72,5,4,474,143,30.2,0.08,0.27,19.6,30,857,641,216,73,52,21
"Osasuna",56,45,44,100,2,1,436,150,34.4,0.13,0.37,16.7,15,757,561,196,95,72,23
"Rayo Vallecano",48,29,36,82,2,1,441,149,33.8,0.1,0.3,17.4,12,793,577,216,81,62,19
"Real Madrid",26,87,17,42,1,1,392,117,29.8,0.06,0.21,17.9,7,688,523,165,38,30,8
"Real Sociedad",39,51,24,62,7,6,388,128,33,0.08,0.25,18,24,674,451,223,67,43,24
"Sevilla",54,48,40,92,5,5,496,170,34.3,0.09,0.28,17.6,16,874,646,228,88,67,21
"Valencia",45,40,31,74,6,3,407,154,37.8,0.1,0.26,17.2,22,730,519,211,76,50,26
"Villarreal",65,65,48,112,6,6,580,208,35.9,0.1,0.28,17.6,21,1004,737,267,115,89,26
