"Squad","Rank","Wins","Draws","Losses","Pts","Home_Wins","Away_Wins","Home_Draws","Away_Draws","Home_Losses","Away_Losses","Home_Pts","Away_Pts"
"Real Madrid",1,29,8,1,95,16,13,3,5,0,1,51,44
"Barcelona",2,26,7,5,85,15,11,1,6,3,2,46,39
"Girona",3,25,6,7,81,15,10,2,4,2,5,47,34
"Atlético Madrid",4,24,4,10,76,16,8,1,3,2,8,49,27
"Athletic Club",5,19,11,8,68,12,7,6,5,1,7,42,26
"Real Sociedad",6,16,12,10,60,8,8,6,6,5,5,30,30
"Betis",7,14,15,9,57,9,5,7,8,3,6,34,23
"Villarreal",8,14,11,13,53,7,7,5,6,7,6,26,27
"Valencia",9,13,10,15,49,8,5,6,4,5,10,30,19
"Alavés",10,12,10,16,46,9,3,4,6,6,10,31,15
"Osasuna",11,12,9,17,45,6,6,5,4,8,9,23,22
"Getafe",12,10,13,15,43,8,2,5,8,6,9,29,14
"Celta Vigo",13,10,11,17,41,6,4,6,5,7,10,24,17
"Sevilla",14,10,11,17,41,6,4,5,6,8,9,23,18
"Mallorca",15,8,16,14,40,6,2,8,8,5,9,26,14
"Las Palmas",16,10,10,18,40,6,4,6,4,7,11,24,16
"Rayo Vallecano",17,8,14,16,38,4,4,8,6,7,9,20,18
"Cádiz",18,6,15,17,33,5,1,9,6,5,12,24,9
"Almería",19,3,12,23,21,1,2,8,4,10,13,11,10
"Granada",20,4,9,25,21,4,0,6,3,9,16,18,3
