"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Alavés",553,340,61.4828209764919,564,564,45,393,115,278,233,802,14
"Almería",583,364,62.4356775300172,613,613,51.2,357,103,254,280,676,15
"Athletic Club",715,428,59.8601398601399,687,687,50.8,411,119,292,370,843,27
"Atlético Madrid",530,318,60,524,524,43.3,407,104,303,298,735,17
"Barcelona",643,392,60.9642301710731,722,722,46.8,450,159,291,318,770,10
"Betis",756,464,61.3756613756614,715,715,46,484,144,340,314,693,13
"Cádiz",606,370,61.056105610561,493,493,53.3,341,89,252,243,795,7
"Celta Vigo",627,382,60.9250398724083,586,586,49.7,444,125,319,335,721,8
"Getafe",540,348,64.4444444444444,499,499,52.1,382,113,269,261,855,17
"Girona",673,423,62.852897473997,650,650,45.7,374,104,270,301,630,10
"Granada",601,344,57.2379367720466,599,599,49.4,390,106,284,290,729,11
"Las Palmas",673,415,61.6641901931649,624,624,49.4,426,99,327,335,656,7
"Mallorca",532,318,59.7744360902256,470,470,46.6,375,108,267,295,814,10
"Osasuna",530,339,63.9622641509434,484,484,51,411,101,310,291,903,9
"Rayo Vallecano",679,408,60.0883652430044,589,589,52,388,119,269,285,759,17
"Real Madrid",705,389,55.177304964539,794,794,49.5,402,146,256,296,689,16
"Real Sociedad",635,368,57.9527559055118,605,605,46.9,402,112,290,278,803,9
"Sevilla",558,347,62.1863799283154,570,570,48.8,367,88,279,236,895,10
"Valencia",612,379,61.9281045751634,570,570,51.6,406,87,319,269,646,10
"Villarreal",685,436,63.6496350364963,680,680,48.4,422,126,296,346,584,11
