"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Alavés",578,347,60.0346020761246,629,629,46.1,363,117,246,279,810,5
"Almería",633,372,58.7677725118483,582,582,48.1,430,134,296,313,856,19
"Athletic Club",581,362,62.3063683304647,635,635,48,419,106,313,278,631,4
"Atlético Madrid",654,399,61.0091743119266,671,671,48.7,460,114,346,256,793,8
"Barcelona",571,363,63.5726795096322,523,523,46.5,363,97,266,257,573,17
"Betis",692,440,63.5838150289017,683,683,52.4,422,101,321,345,801,9
"Cádiz",671,398,59.3144560357675,728,728,46.8,443,123,320,298,786,13
"Celta Vigo",627,382,60.9250398724083,662,662,46.5,434,116,318,297,832,9
"Getafe",608,364,59.8684210526316,577,577,50.4,342,103,239,307,730,6
"Girona",544,340,62.5,521,521,52.6,378,124,254,257,661,21
"Granada",637,374,58.712715855573,623,623,46.4,404,110,294,280,779,26
"Las Palmas",662,397,59.9697885196375,633,633,48.2,416,98,318,281,761,14
"Mallorca",686,388,56.5597667638484,657,657,51.8,369,131,238,365,785,10
"Osasuna",525,311,59.2380952380952,517,517,47,400,108,292,263,756,16
"Rayo Vallecano",630,372,59.047619047619,608,608,44.4,410,105,305,308,796,12
"Real Madrid",557,368,66.0682226211849,461,461,48.8,401,104,297,296,552,14
"Real Sociedad",650,405,62.3076923076923,552,552,51.3,405,118,287,253,693,15
"Sevilla",697,463,66.4275466284075,626,626,53.5,395,123,272,313,772,9
"Valencia",657,379,57.6864535768645,618,618,50,392,105,287,324,842,9
"Villarreal",576,348,60.4166666666667,532,532,48.9,386,130,256,304,789,12
