"Squad","Total_Goals_Scored","Total_Goals_Conceded","Goal_Difference","Home_Goals_Scored","Home_Goals_Conceded","Home_Goal_Difference","Away_Goals_Scored","Away_Goals_Conceded","Away_Goal_Difference","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Angers",40,58,-18,20,27,-7,20,31,-11,23,63,6,5,401,135,33.7,0.09,0.26,18.9,18,706,525,181,66,42,24
"Bordeaux",42,56,-14,19,21,-2,23,35,-12,32,73,4,4,417,137,32.9,0.09,0.27,17.4,20,740,476,264,76,45,31
"Brest",50,66,-16,32,33,-1,18,33,-15,31,79,4,3,445,155,34.8,0.1,0.29,17.2,26,789,561,228,84,61,23
"Dijon",25,73,-48,8,31,-23,17,42,-25,15,40,5,3,345,87,25.2,0.06,0.25,18.2,9,587,398,189,40,21,19
"Lens",55,54,1,28,26,2,27,28,-1,35,88,12,10,434,133,30.6,0.1,0.32,18.5,22,790,566,224,94,61,33
"Lille",64,23,41,28,11,17,36,12,24,39,101,5,5,481,178,37,0.12,0.32,19.6,22,845,639,206,107,82,25
"Lorient",50,68,-18,31,29,2,19,39,-20,26,75,10,9,416,130,31.3,0.1,0.31,20.2,30,726,498,228,80,47,33
"Lyon",81,43,38,42,23,19,39,20,19,46,122,11,11,601,222,36.9,0.11,0.29,17.2,23,1075,776,299,130,89,41
"Marseille",54,47,7,32,23,9,22,24,-2,45,98,7,4,374,128,34.2,0.13,0.38,18.1,17,672,487,185,97,68,29
"Metz",44,48,-4,19,26,-7,25,22,3,28,70,11,7,425,127,29.9,0.08,0.28,20.6,31,762,529,233,71,46,25
"Monaco",76,42,34,43,21,22,33,21,12,52,128,15,12,471,160,34,0.14,0.4,17.2,21,851,599,252,129,89,40
"Montpellier",60,62,-2,34,35,-1,26,27,-1,42,102,5,2,459,168,36.6,0.13,0.35,17.1,27,788,519,269,104,70,34
"Nantes",47,55,-8,21,30,-9,28,27,1,28,75,9,8,402,120,29.9,0.1,0.33,18.9,17,699,476,223,78,49,29
"Nice",50,53,-3,25,30,-5,25,23,2,26,75,7,7,402,138,34.3,0.1,0.3,17.8,17,707,488,219,79,51,28
"Nîmes",40,71,-31,22,39,-17,18,32,-14,26,66,8,7,384,131,34.1,0.09,0.25,18.6,17,639,432,207,64,44,20
"Paris S-G",86,28,58,44,14,30,42,14,28,52,136,13,12,557,200,35.9,0.13,0.36,17,33,982,720,262,135,95,40
"Reims",42,50,-8,16,21,-5,26,29,-3,23,62,5,5,358,122,34.1,0.09,0.28,19.4,15,620,469,151,64,36,28
"Rennes",52,40,12,26,21,5,26,19,7,39,89,3,3,510,159,31.2,0.09,0.3,18.3,32,921,660,261,88,58,30
"Saint-Étienne",42,54,-12,20,29,-9,22,25,-3,28,68,9,6,432,140,32.4,0.08,0.24,18.2,17,769,492,277,66,40,26
"Strasbourg",49,58,-9,21,29,-8,28,29,-1,26,75,12,10,419,129,30.8,0.09,0.3,18.7,17,693,466,227,75,49,26
