"Squad","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Angers",731,1639,17811,21744,81.9,8206,9182,89.4,1660,2897,57.3,7376,8447,87.3,19953,1722,472,21,136,652,759,175,69,53.8,25939,754,440,58.4,314,41.6
"Bordeaux",756,1568,15866,19657,80.7,7089,7927,89.4,1683,2997,56.2,6659,7697,86.5,17866,1730,468,17,176,706,731,204,61,50.3,23575,623,370,59.4,253,40.6
"Brest",730,1720,16431,20261,81.1,7317,8223,89,1779,3080,57.8,6813,7830,87,18303,1914,517,24,140,752,780,192,44,50.7,24340,633,349,55.1,284,44.9
"Dijon",721,1693,16969,20912,81.1,7446,8364,89,1892,3205,59,7228,8349,86.6,18975,1865,524,26,172,774,797,234,72,53.8,25040,662,383,57.9,278,42
"Lens",569,1214,14243,18286,77.9,6234,7200,86.6,1656,3027,54.7,5933,7010,84.6,16194,2049,551,33,134,632,923,184,43,48.6,22302,533,296,55.5,237,44.5
"Lille",607,1258,14859,18810,79,6344,7285,87.1,1722,3095,55.6,6419,7470,85.9,16993,1791,533,9,178,638,745,146,26,46.1,22989,707,402,56.9,305,43.1
"Lorient",679,1577,17386,21369,81.4,7602,8565,88.8,1918,3245,59.1,7446,8536,87.2,19386,1957,488,15,203,627,940,163,26,55.4,25414,812,479,59,333,41
"Lyon",660,1194,13968,17704,78.9,6463,7269,88.9,1506,2818,53.4,5567,6578,84.6,15825,1835,523,15,152,640,671,166,44,45.1,22025,639,375,58.7,264,41.3
"Marseille",659,1329,13749,17666,77.8,6149,7040,87.3,1469,2797,52.5,5731,6788,84.4,15621,1948,526,21,138,729,882,195,97,46.1,21883,667,354,53.1,313,46.9
"Metz",689,1572,16391,20494,80,7370,8361,88.1,1699,2998,56.7,6887,8070,85.3,18463,1987,530,29,133,742,895,205,44,54.7,24424,675,370,54.8,305,45.2
"Monaco",536,1181,13479,17419,77.4,6029,7009,86,1598,2958,54,5464,6439,84.9,15501,1862,526,10,190,536,782,124,56,44,21656,696,364,52.3,332,47.7
"Montpellier",847,1719,16330,20043,81.5,7229,8158,88.6,1771,2996,59.1,6941,7937,87.5,18127,1880,516,23,161,743,764,214,36,54.7,24235,707,423,59.8,284,40.2
"Nantes",595,1597,17200,21456,80.2,7442,8432,88.3,1966,3398,57.9,7318,8483,86.3,19341,2060,530,14,173,657,991,173,55,56.3,25766,778,409,52.6,369,47.4
"Nice",667,1380,14737,18253,80.7,6472,7254,89.2,1744,2954,59,6161,7095,86.8,16401,1792,464,19,157,746,744,215,60,45.5,22279,629,372,59.1,256,40.7
"Nîmes",742,1771,17110,21162,80.9,7596,8598,88.3,1800,3088,58.3,7254,8311,87.3,19228,1878,437,24,193,780,904,200,56,55.6,25381,710,399,56.2,310,43.7
"Paris S-G",625,1067,12123,15345,79,5739,6446,89,1485,2647,56.1,4505,5306,84.9,13582,1705,512,23,164,530,556,148,58,36.5,19397,700,407,58.1,293,41.9
"Reims",840,1628,17443,21250,82.1,7821,8748,89.4,1685,2897,58.2,7391,8463,87.3,19397,1813,465,28,158,775,809,182,40,55.2,25081,645,369,57.2,276,42.8
"Rennes",513,1188,12782,16512,77.4,5750,6524,88.1,1419,2789,50.9,5181,6148,84.3,14661,1794,509,36,143,515,767,126,57,40.5,20654,564,330,58.5,234,41.5
"Saint-Étienne",589,1504,14836,19010,78,6484,7432,87.2,1639,3038,53.9,6348,7525,84.4,16849,2120,527,25,170,644,1035,183,41,51.7,23359,700,374,53.4,326,46.6
"Strasbourg",734,1578,16696,20605,81,7550,8562,88.2,1664,2874,57.9,6971,8025,86.9,18667,1888,505,19,137,698,839,187,50,54.4,24606,615,335,54.5,280,45.5
