"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Angers",752,432,57.4468085106383,744,744,48.1,406,100,306,464,625,11
"Bordeaux",683,418,61.2005856515373,678,678,42.3,366,100,266,409,590,12
"Brest",515,322,62.5242718446602,613,613,37.5,343,101,242,413,672,14
"Dijon",654,414,63.302752293578,673,673,42.8,363,87,276,510,573,9
"Lens",621,357,57.487922705314,636,636,42.9,373,101,272,454,676,11
"Lille",677,409,60.4135893648449,705,705,42.1,382,112,270,520,659,19
"Lorient",623,370,59.3900481540931,635,635,43.1,340,96,244,450,566,13
"Lyon",660,383,58.030303030303,813,813,41.1,421,139,282,517,720,21
"Marseille",573,336,58.6387434554974,582,582,44.8,380,82,298,442,664,8
"Metz",678,384,56.6371681415929,678,678,43.8,355,114,241,393,578,2
"Monaco",566,334,59.0106007067138,570,570,46,374,119,255,503,732,17
"Montpellier",588,326,55.4421768707483,587,587,49.1,345,106,239,414,750,6
"Nantes",668,411,61.5269461077844,678,678,44.2,355,104,251,460,691,11
"Nice",667,403,60.4197901049475,741,741,40.6,363,96,267,473,583,19
"Nîmes",658,419,63.677811550152,616,616,48.1,341,89,252,444,615,6
"Paris S-G",706,385,54.5325779036827,847,847,42.3,340,103,237,535,671,22
"Reims",575,336,58.4347826086956,669,669,44.5,272,77,195,455,524,9
"Rennes",552,318,57.6086956521739,671,671,39.5,379,130,249,519,748,14
"Saint-Étienne",733,435,59.3451568894952,802,802,46.1,377,106,271,447,704,8
"Strasbourg",539,346,64.1929499072356,508,508,41.1,375,101,274,408,708,10
