"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Angers",626,376,60.0638977635783,754,754,41.6,330,78,252,443,654,1
"Bordeaux",567,329,58.0246913580247,623,623,40.6,383,123,260,503,677,9
"Brest",610,355,58.1967213114754,633,633,44.9,358,109,249,463,685,12
"Dijon",601,367,61.0648918469218,661,661,42.1,351,112,239,471,729,16
"Lens",601,358,59.567387687188,533,533,44.5,375,92,283,508,690,12
"Lille",653,370,56.6615620214395,707,707,43.1,339,90,249,424,590,6
"Lorient",722,424,58.7257617728532,812,812,41,422,114,308,527,670,11
"Lyon",584,346,59.2465753424658,639,639,41.3,366,115,251,408,594,14
"Marseille",655,391,59.6946564885496,667,667,46.9,365,105,260,442,710,12
"Metz",685,417,60.8759124087591,675,675,45.2,394,116,278,572,745,9
"Monaco",733,432,58.9358799454297,696,696,47.7,356,66,290,436,513,15
"Montpellier",529,334,63.1379962192817,707,707,40.2,372,150,222,420,705,14
"Nantes",697,385,55.2367288378766,778,778,47.4,391,107,284,464,707,6
"Nice",599,364,60.7679465776294,628,628,40.8,355,123,232,435,644,15
"Nîmes",625,372,59.52,709,709,43.7,407,122,285,501,710,17
"Paris S-G",609,385,63.2183908045977,700,700,41.9,327,81,246,373,448,22
"Reims",656,372,56.7073170731707,645,645,42.8,335,121,214,487,762,18
"Rennes",587,337,57.4105621805792,564,564,41.5,347,74,273,361,510,12
"Saint-Étienne",716,428,59.7765363128492,700,700,46.6,374,88,286,471,665,10
"Strasbourg",633,396,62.5592417061611,615,615,45.5,303,77,226,521,641,11
