"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Angers",65,2,1,3,461
"Bordeaux",78,4,2,6,465
"Brest",62,4,1,5,491
"Dijon",76,5,1,6,515
"Lens",94,7,5,12,541
"Lille",68,2,1,3,487
"Lorient",69,3,1,4,475
"Lyon",66,10,3,13,484
"Marseille",98,9,2,11,500
"Metz",84,4,1,5,516
"Monaco",78,7,2,9,486
"Montpellier",65,7,0,7,513
"Nantes",70,4,2,6,514
"Nice",73,4,2,6,459
"Nîmes",60,5,2,7,424
"Paris S-G",79,7,3,10,463
"Reims",77,8,1,9,442
"Rennes",79,5,0,5,502
"Saint-Étienne",76,2,0,2,529
"Strasbourg",58,3,1,4,499
