"Squad","Total_Goals_Scored","Total_Goals_Conceded","Assists","Goals+Assists","Penalty_Attempts","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Angers",58,40,41,98,8,7,388,131,33.8,0.13,0.38,18,18,697,502,195,103,80,23
"Bordeaux",56,42,37,92,8,7,465,148,31.8,0.1,0.32,18,25,840,605,235,99,62,37
"Brest",66,50,43,107,11,9,474,170,35.9,0.12,0.32,17.8,17,848,626,222,110,69,41
"Dijon",73,25,44,115,10,7,524,181,34.5,0.12,0.35,16.7,27,921,634,287,117,74,43
"Lens",54,55,25,76,11,11,401,132,32.9,0.1,0.3,18.4,24,687,447,240,80,43,37
"Lille",23,64,17,38,2,1,335,105,31.3,0.06,0.19,18.4,13,567,401,166,37,26,11
"Lorient",68,50,44,111,11,10,454,157,34.6,0.13,0.36,19,19,801,533,268,117,76,41
"Lyon",43,81,24,65,7,5,432,128,29.6,0.08,0.28,19.3,16,747,551,196,67,47,20
"Marseille",47,54,36,82,3,3,443,129,29.1,0.1,0.33,18,20,783,561,222,80,55,25
"Metz",48,44,25,72,13,12,467,137,29.3,0.07,0.26,19.3,22,811,557,254,83,51,32
"Monaco",42,76,25,66,5,5,321,98,30.5,0.11,0.37,19.3,21,567,398,169,64,40,24
"Montpellier",62,60,39,99,12,12,547,185,33.8,0.09,0.26,18.1,28,966,651,315,107,75,32
"Nantes",55,47,29,83,12,10,448,157,35,0.1,0.28,17.9,21,791,555,236,86,59,27
"Nice",53,50,28,81,7,7,500,169,33.8,0.09,0.27,18.4,23,885,621,264,80,49,31
"Nîmes",71,40,52,123,10,6,512,187,36.5,0.13,0.35,17.5,24,921,650,271,121,88,33
"Paris S-G",28,86,17,44,2,1,378,129,34.1,0.07,0.2,18.2,9,649,478,171,40,26,14
"Reims",50,42,34,83,8,5,504,161,31.9,0.09,0.27,19.5,28,878,623,255,85,57,28
"Rennes",40,52,30,69,4,3,363,128,35.3,0.1,0.28,18.8,15,622,442,180,68,43,25
"Saint-Étienne",54,42,34,86,9,6,402,125,31.1,0.11,0.37,18.2,37,710,469,241,90,61,29
"Strasbourg",58,49,38,95,8,6,375,142,37.9,0.14,0.36,17.8,24,670,472,198,93,62,31
