"Squad","Rank","Wins","Draws","Losses","Pts","Home_Wins","Away_Wins","Home_Draws","Away_Draws","Home_Losses","Away_Losses","Home_Pts","Away_Pts"
"Lille",1,24,11,3,83,10,14,7,4,2,1,37,46
"Paris S-G",2,26,4,8,82,13,13,1,3,5,3,40,42
"Monaco",3,24,6,8,78,12,12,5,1,2,6,41,37
"Lyon",4,22,10,6,76,11,11,3,7,5,1,36,40
"Marseille",5,16,12,10,60,10,6,5,7,4,6,35,25
"Rennes",6,16,10,12,58,9,7,4,6,6,6,31,27
"Lens",7,15,12,11,57,7,8,7,5,5,6,28,29
"Montpellier",8,14,12,12,54,7,7,4,8,8,4,25,29
"Nice",9,15,7,16,52,7,8,3,4,9,7,24,28
"Metz",10,12,11,15,47,5,7,5,6,9,6,20,27
"Saint-Étienne",11,12,10,16,46,5,7,6,4,8,8,21,25
"Bordeaux",12,13,6,19,45,7,6,4,2,8,11,25,20
"Angers",13,12,8,18,44,6,6,3,5,10,8,21,23
"Reims",14,9,15,14,42,4,5,8,7,7,7,20,22
"Strasbourg",15,11,9,18,42,4,7,5,4,10,8,17,25
"Lorient",16,11,9,18,42,10,1,2,7,7,11,32,10
"Brest",17,11,8,19,41,8,3,4,4,7,12,28,13
"Nantes",18,9,13,16,40,3,7,8,5,9,8,17,26
"Nîmes",19,9,8,21,35,3,6,5,3,11,10,14,21
"Dijon",20,4,9,25,21,1,3,6,3,12,13,9,12
