"Squad","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Angers",40,100,75.2,16,42.1,1,16.7
"Bordeaux",42,100,73,12,31.6,0,0
"Brest",50,110,70.4,11,28.9,1,25
"Dijon",25,65,75.8,21,55.3,1,25
"Lens",55,90,68.5,8,21.1,0,0
"Lille",64,121,67.8,4,10.5,0,0
"Lorient",50,90,70.5,10,26.3,0,0
"Lyon",81,157,70,3,7.9,0,0
"Marseille",54,79,62.7,8,21.1,2,33.3
"Metz",44,92,73.2,12,31.6,4,36.4
"Monaco",76,96,63.2,5,13.2,2,14.3
"Montpellier",60,111,66.1,6,15.8,1,33.3
"Nantes",47,81,69.8,9,23.7,1,11.1
"Nice",50,96,70.3,11,28.9,0,0
"Nîmes",40,98,76.3,13,34.2,1,12.5
"Paris S-G",86,128,65.1,6,15.8,0,0
"Reims",42,88,70.9,14,36.8,0,0
"Rennes",52,112,69.8,10,26.3,0,0
"Saint-Étienne",42,106,75.5,11,28.9,1,14.3
"Strasbourg",49,90,72.3,10,26.3,2,16.7
