"Squad","Player_Count","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Angers",31,614,1435,14883,18822,79.1,6976,7852,88.8,1531,2897,52.8,5985,7038,85,16876,1907,551,30,135,662,824,168,39,46.4,22924,744,386,51.9,358,48.1
"Bordeaux",28,644,1303,15862,19490,81.4,7065,7953,88.8,1694,2878,58.9,6665,7634,87.3,17533,1908,534,16,146,609,814,174,49,49.8,23564,679,391,57.6,287,42.3
"Brest",26,685,1438,15437,19407,79.5,6267,7228,86.7,2034,3384,60.1,6798,7856,86.5,17412,1936,489,19,147,720,859,181,59,49.3,23400,613,383,62.5,230,37.5
"Dijon",33,528,1204,13949,17901,77.9,5993,6862,87.3,1638,3054,53.6,6025,7094,84.9,15908,1939,502,17,113,569,832,146,54,46.2,21991,673,385,57.2,288,42.8
"Lens",27,743,1567,15078,18957,79.5,6283,7229,86.9,1682,2916,57.7,6713,7778,86.3,17084,1824,491,18,200,760,781,194,49,51.1,23098,636,363,57.1,273,42.9
"Lille",21,713,1660,17886,21892,81.7,8342,9348,89.2,1668,2938,56.8,7195,8239,87.3,20037,1791,466,31,173,637,841,184,64,53.8,25941,705,408,57.9,297,42.1
"Lorient",27,572,1169,13171,17085,77.1,6009,6910,87,1381,2801,49.3,5392,6409,84.1,15172,1867,480,21,110,606,800,176,46,44.6,21346,635,361,56.9,274,43.1
"Lyon",29,805,1991,17685,21396,82.7,8261,9252,89.3,1740,2738,63.6,7093,8148,87.1,19477,1856,479,36,135,710,814,232,63,54.9,25612,813,479,58.9,334,41.1
"Marseille",31,606,1499,16481,20532,80.3,7937,8895,89.2,1511,2858,52.9,6509,7552,86.2,18515,1965,572,17,182,647,840,174,52,53.6,24581,582,321,55.2,261,44.8
"Metz",27,744,1221,13167,16956,77.7,5653,6462,87.5,1579,2982,53,5598,6622,84.5,15135,1771,495,26,163,659,712,161,50,45.2,21372,678,381,56.2,297,43.8
"Monaco",30,757,1750,17738,21991,80.7,7468,8476,88.1,1824,3175,57.4,8001,9214,86.8,20044,1877,513,32,174,746,823,218,70,55.8,25954,570,308,54,262,46
"Montpellier",25,616,1311,12720,16620,76.5,5028,5873,85.6,2068,3426,60.4,5302,6391,83,14667,1905,477,12,194,807,817,184,48,45.7,20691,587,299,50.9,288,49.1
"Nantes",25,656,1350,12329,16543,74.5,5715,6671,85.7,1305,2790,46.8,4967,6140,80.9,14546,1943,569,19,114,678,846,178,54,43.9,20862,678,378,55.8,300,44.2
"Nice",31,784,1531,18110,21589,83.9,8487,9373,90.5,1563,2622,59.6,7619,8561,89,19731,1818,500,16,169,599,759,168,40,54.3,25536,741,440,59.4,301,40.6
"Nîmes",33,520,1200,12696,16714,76,5153,5992,86,1656,3200,51.8,5509,6565,83.9,14592,2072,594,13,167,617,902,161,50,44.4,21040,616,320,51.9,296,48.1
"Paris S-G",33,909,2089,22941,26137,87.8,12123,13008,93.2,1439,2205,65.3,8404,9299,90.4,24439,1633,456,55,106,695,666,218,65,63.1,29991,847,489,57.7,358,42.3
"Reims",29,698,1246,13535,17170,78.8,5325,6112,87.1,1800,3175,56.7,6107,7064,86.5,15309,1800,454,11,155,539,758,145,61,44.9,21328,669,371,55.5,298,44.5
"Rennes",32,741,1883,20011,23914,83.7,9190,10204,90.1,1926,3135,61.4,8499,9564,88.9,22015,1865,527,22,186,764,804,198,34,59.1,27736,673,406,60.3,265,39.4
"Saint-Étienne",40,616,1229,13610,17667,77,6072,7028,86.4,1579,2986,52.9,5532,6606,83.7,15587,2031,523,12,174,779,949,191,49,48.3,22250,802,432,53.9,370,46.1
"Strasbourg",26,538,1301,13120,17175,76.4,4985,5851,85.2,2137,3638,58.7,5680,6733,84.4,15254,1882,451,8,265,713,873,165,39,45.7,21128,508,299,58.9,209,41.1
