"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Augsburg",544,329,60.4779411764706,473,473,50.7,348,70,278,312,492,11
"Bayern Munich",570,351,61.578947368421,741,741,35.2,424,126,298,468,867,14
"Dortmund",633,381,60.1895734597156,750,750,37.6,405,94,311,449,569,12
"Düsseldorf",468,291,62.1794871794872,453,453,43.3,341,121,220,323,708,11
"Eint Frankfurt",491,293,59.6741344195519,520,520,36.5,417,114,303,403,780,5
"Freiburg",462,303,65.5844155844156,452,452,44.9,403,116,287,304,656,11
"Gladbach",572,350,61.1888111888112,638,638,39.3,395,122,273,440,579,17
"Hertha BSC",523,320,61.1854684512428,526,526,33.3,331,74,257,289,515,7
"Hoffenheim",537,315,58.659217877095,512,512,41.6,397,104,293,336,595,15
"Köln",477,298,62.4737945492662,450,450,39.6,340,94,246,387,686,11
"Leverkusen",620,370,59.6774193548387,710,710,36.6,438,132,306,478,742,13
"Mainz 05",581,345,59.3803786574871,614,614,38.3,337,120,217,345,705,5
"Paderborn 07",669,413,61.7339312406577,689,689,44.6,457,116,341,393,646,8
"RB Leipzig",555,312,56.2162162162162,623,623,37.7,429,120,309,467,626,17
"Schalke 04",683,411,60.1756954612006,687,687,38.7,387,98,289,369,607,8
"Union Berlin",445,303,68.0898876404494,456,456,43.2,358,101,257,357,636,9
"Werder Bremen",537,336,62.5698324022346,470,470,44.9,391,107,284,382,676,8
"Wolfsburg",633,372,58.7677725118483,612,612,42.5,391,104,287,382,700,6
