"Squad","Player_Count","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Augsburg",28,411,815,8439,12287,68.7,3561,4445,80.1,1149,2545,45.1,3403,4308,79,10461,1745,441,18,118,479,772,133,81,38.6,16178,473,233,49.3,240,50.7
"Bayern Munich",29,930,2300,20587,24273,84.8,9119,10103,90.3,2153,3150,68.3,8654,9667,89.5,22488,1707,444,69,180,850,767,240,78,65.1,27878,741,480,64.8,261,35.2
"Dortmund",27,792,1736,20601,24071,85.6,9954,10940,91,1812,2720,66.6,8099,8993,90.1,22420,1595,410,63,188,510,694,190,56,60.4,27633,750,468,62.4,282,37.6
"Düsseldorf",28,487,1268,11367,15164,75,4518,5356,84.4,1737,3065,56.7,4852,5895,82.3,13381,1727,493,19,225,705,730,148,56,45.6,18732,453,257,56.7,196,43.3
"Eint Frankfurt",27,677,1389,12302,16602,74.1,5138,6124,83.9,1567,2924,53.6,5233,6456,81.1,14737,1808,457,16,126,892,813,213,57,50.9,20419,520,330,63.5,190,36.5
"Freiburg",26,537,1128,12085,15762,76.7,4600,5443,84.5,1586,2893,54.8,5555,6461,86,13890,1816,454,31,152,649,766,151,56,48.1,19615,452,249,55.1,203,44.9
"Gladbach",25,650,1305,14321,17974,79.7,6206,7130,87,1530,2580,59.3,6115,7119,85.9,16127,1756,488,52,107,570,742,172,91,52.4,21776,638,387,60.7,251,39.3
"Hertha BSC",32,546,1073,11361,14961,75.9,4388,5188,84.6,1735,2940,59,4939,5960,82.9,13249,1655,423,13,184,527,742,125,57,44.7,18883,526,351,66.7,175,33.3
"Hoffenheim",31,598,1261,14392,17932,80.3,6337,7147,88.7,1471,2658,55.3,6193,7124,86.9,16146,1725,472,40,89,579,700,174,61,51.6,21896,512,299,58.4,213,41.6
"Köln",29,494,1158,11195,15108,74.1,4315,5172,83.4,1721,3025,56.9,4871,5973,81.6,13248,1785,475,33,106,708,735,175,75,46.7,19057,450,272,60.4,179,39.8
"Leverkusen",24,761,1471,19042,22954,83,8525,9522,89.5,1891,3030,62.4,7998,8988,89,21080,1782,475,40,124,713,782,215,92,63.2,26856,710,450,63.4,260,36.6
"Mainz 05",25,524,1146,10245,13997,73.2,4413,5233,84.3,1356,2664,50.9,4136,5160,80.2,12153,1774,435,38,108,615,751,174,70,43.2,18148,614,379,61.7,235,38.3
"Paderborn 07",27,682,1009,11502,15172,75.8,4614,5427,85,1562,2706,57.7,4945,5926,83.4,13237,1873,422,21,172,572,885,176,62,45.9,19472,689,382,55.4,307,44.6
"RB Leipzig",29,759,1700,16241,20063,81,7531,8560,88,1421,2450,58,6424,7396,86.9,18285,1700,466,48,117,628,738,188,78,55.3,24052,623,388,62.3,235,37.7
"Schalke 04",29,603,1201,12014,15752,76.3,5052,5932,85.2,1474,2721,54.2,5073,6019,84.3,13909,1762,445,33,105,472,807,152,81,49,19874,687,421,61.3,266,38.7
"Union Berlin",26,387,944,9451,13664,69.2,3969,4928,80.5,1395,2884,48.4,3643,4732,77,11861,1739,439,13,47,628,796,137,64,41.9,17693,456,259,56.8,197,43.2
"Werder Bremen",30,509,1309,12893,16729,77.1,5787,6722,86.1,1401,2555,54.8,5333,6410,83.2,14830,1846,528,17,101,601,745,160,53,48.8,20589,470,259,55.1,211,44.9
"Wolfsburg",26,620,1247,11610,15677,74.1,4532,5502,82.4,1663,2975,55.9,5009,6105,82,13799,1806,444,37,138,651,876,167,72,48.4,19700,612,352,57.5,260,42.5
