"Squad","Goalkeepers_Used","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Augsburg",2,63,94,59.4,7,20.6,1,100
"Bayern Munich",2,32,81,74.3,15,44.1,1,25
"Dortmund",2,41,64,62.7,15,44.1,0,0
"Düsseldorf",2,67,112,63.8,4,11.8,2,40
"Eint Frankfurt",3,60,116,67.2,5,14.7,0,0
"Freiburg",3,47,144,77,7,20.6,0,0
"Gladbach",1,40,117,75.3,7,20.6,1,50
"Hertha BSC",3,59,116,69.9,9,26.5,0,0
"Hoffenheim",2,53,114,71.9,8,23.5,2,25
"Köln",1,69,87,58.3,6,17.6,2,33.3
"Leverkusen",1,44,99,70.6,10,29.4,0,0
"Mainz 05",2,65,115,65.7,5,14.7,2,40
"Paderborn 07",2,74,112,62.2,5,14.7,1,20
"RB Leipzig",2,37,84,71.1,10,29.4,0,0
"Schalke 04",2,58,117,69.9,7,20.6,0,0
"Union Berlin",2,58,109,67.1,8,23.5,1,25
"Werder Bremen",2,69,108,60.9,4,11.8,0,0
"Wolfsburg",2,46,97,71.1,8,23.5,0,0
