"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Augsburg",534,314,58.8014981273408,563,563,39.1,362,123,239,434,778,8
"Bayern Munich",500,293,58.6,503,503,41.9,290,79,211,342,382,9
"Dortmund",529,329,62.1928166351607,509,509,44.4,353,88,265,375,463,10
"Düsseldorf",496,307,61.8951612903226,540,540,37,350,105,245,376,610,9
"Eint Frankfurt",596,377,63.255033557047,617,617,37.6,403,97,306,376,520,5
"Freiburg",431,252,58.4686774941995,497,497,35.2,401,157,244,354,810,18
"Gladbach",552,322,58.3333333333333,586,586,38.9,398,106,292,381,596,11
"Hertha BSC",555,340,61.2612612612613,521,521,39.9,434,130,304,410,794,12
"Hoffenheim",529,309,58.4120982986767,578,578,41.3,384,121,263,349,719,9
"Köln",610,414,67.8688524590164,622,622,40,397,97,300,435,681,5
"Leverkusen",557,353,63.3752244165171,600,600,43.8,365,71,294,333,496,11
"Mainz 05",576,331,57.4652777777778,542,542,41.5,403,110,293,363,724,13
"Paderborn 07",632,400,63.2911392405063,722,722,41.7,435,111,324,364,747,9
"RB Leipzig",616,361,58.6038961038961,624,624,41.3,397,86,311,364,610,16
"Schalke 04",589,361,61.2903225806452,625,625,40.8,474,118,356,407,656,15
"Union Berlin",550,322,58.5454545454545,565,565,37.7,396,124,272,421,775,8
"Werder Bremen",550,345,62.7272727272727,573,573,37.7,369,123,246,423,775,11
"Wolfsburg",598,363,60.7023411371237,589,589,40.9,378,87,291,377,649,9
