"Squad","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Augsburg",45,87,68.7,8,23.5,2,40
"Bayern Munich",100,152,62.2,1,2.9,0,0
"Dortmund",84,106,56.8,5,14.7,0,0
"Düsseldorf",36,82,72.9,11,32.4,0,0
"Eint Frankfurt",59,115,66.9,6,17.6,0,0
"Freiburg",48,97,70.1,8,23.5,1,16.7
"Gladbach",66,127,67.7,7,20.6,1,20
"Hertha BSC",48,77,63.1,9,26.5,0,0
"Hoffenheim",53,105,68.4,8,23.5,1,25
"Köln",51,99,67.5,5,14.7,2,50
"Leverkusen",61,128,67.9,6,17.6,0,0
"Mainz 05",44,100,71.1,12,35.3,0,0
"Paderborn 07",37,89,72.7,8,23.5,2,50
"RB Leipzig",81,130,64,4,11.8,0,0
"Schalke 04",38,91,71.4,13,38.2,0,0
"Union Berlin",41,96,72.6,8,23.5,1,20
"Werder Bremen",42,96,71.9,12,35.3,3,50
"Wolfsburg",48,109,72,9,26.5,0,0
