"Squad","Total_Goals_Scored","Total_Goals_Conceded","Goal_Difference","Home_Goals_Scored","Home_Goals_Conceded","Home_Goal_Difference","Away_Goals_Scored","Away_Goals_Conceded","Away_Goal_Difference","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Augsburg",45,63,-18,28,29,-1,17,34,-17,29,74,5,3,358,129,36,0.12,0.33,19,24,599,391,208,68,43,25
"Bayern Munich",100,32,68,53,15,38,47,17,30,75,172,6,6,609,243,39.9,0.15,0.37,16.5,13,1108,862,246,176,140,36
"Dortmund",84,41,43,46,17,29,38,24,14,74,158,2,2,442,188,42.5,0.19,0.44,16.7,14,794,598,196,155,129,26
"Düsseldorf",36,67,-31,18,28,-10,18,39,-21,26,62,4,4,424,114,26.9,0.08,0.28,20,20,747,491,256,64,45,19
"Eint Frankfurt",59,60,-1,36,27,9,23,33,-10,45,102,2,2,500,170,34,0.11,0.32,16.7,16,878,611,267,100,61,39
"Freiburg",48,47,1,23,17,6,25,30,-5,27,73,6,5,442,138,31.2,0.09,0.3,17.7,27,784,517,267,75,38,37
"Gladbach",66,40,26,40,21,19,26,19,7,53,117,6,4,475,187,39.4,0.13,0.32,17,26,827,589,238,114,82,32
"Hertha BSC",48,59,-11,23,32,-9,25,27,-2,35,80,3,3,357,119,33.3,0.12,0.35,17.7,12,636,446,190,83,52,31
"Hoffenheim",53,53,0,26,37,-11,27,16,11,36,88,4,3,447,154,34.5,0.11,0.32,17.1,24,797,538,259,91,60,31
"Köln",51,69,-18,28,27,1,23,42,-19,38,88,4,2,413,147,35.6,0.12,0.33,16.8,20,724,500,224,83,54,29
"Leverkusen",61,44,17,32,22,10,29,22,7,48,105,2,2,492,182,37,0.11,0.3,16.7,6,853,614,239,108,80,28
"Mainz 05",44,65,-21,18,29,-11,26,36,-10,34,76,3,3,450,139,30.9,0.09,0.28,18.9,13,795,552,243,76,51,25
"Paderborn 07",37,74,-37,21,46,-25,16,28,-12,26,63,4,2,427,124,29,0.08,0.28,19.7,20,730,487,243,59,40,19
"RB Leipzig",81,37,44,38,21,17,43,16,27,58,139,5,5,545,206,37.8,0.14,0.37,17,23,981,726,255,138,92,46
"Schalke 04",38,58,-20,20,27,-7,18,31,-13,25,60,2,2,383,124,32.4,0.09,0.27,18.5,10,639,431,208,58,43,15
"Union Berlin",41,58,-17,24,20,4,17,38,-21,27,65,5,4,397,130,32.7,0.09,0.26,18,7,659,424,235,66,37,29
"Werder Bremen",42,69,-27,15,36,-21,27,33,-6,30,70,6,3,419,133,31.7,0.09,0.28,18.7,11,756,536,220,69,43,26
"Wolfsburg",48,46,2,19,23,-4,29,23,6,33,81,4,4,471,153,32.5,0.09,0.29,18,12,814,542,272,80,49,31
