"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Augsburg",68,2,2,4,378
"Bayern Munich",54,3,2,5,322
"Dortmund",49,1,1,2,305
"Düsseldorf",78,0,0,0,407
"Eint Frankfurt",71,4,2,6,425
"Freiburg",43,2,1,3,329
"Gladbach",77,3,3,6,424
"Hertha BSC",78,4,2,6,465
"Hoffenheim",66,2,1,3,383
"Köln",79,4,1,5,487
"Leverkusen",61,6,3,9,394
"Mainz 05",75,3,2,5,462
"Paderborn 07",84,3,2,5,426
"RB Leipzig",53,3,3,6,373
"Schalke 04",64,2,1,3,400
"Union Berlin",71,5,3,8,523
"Werder Bremen",80,4,4,8,461
"Wolfsburg",71,4,2,6,490
