"Squad","Rank","Wins","Draws","Losses","Pts","Home_Wins","Away_Wins","Home_Draws","Away_Draws","Home_Losses","Away_Losses","Home_Pts","Away_Pts"
"Bayern Munich",1,26,4,4,82,13,13,2,2,2,2,41,41
"Dortmund",2,21,6,7,69,11,10,3,3,3,4,36,33
"RB Leipzig",3,18,12,4,66,7,11,8,4,2,2,29,37
"Gladbach",4,20,5,9,65,12,8,2,3,3,6,38,27
"Leverkusen",5,19,6,9,63,9,10,4,2,4,5,31,32
"Hoffenheim",6,15,7,12,52,7,8,1,6,9,3,22,30
"Wolfsburg",7,13,10,11,49,4,9,7,3,6,5,19,30
"Freiburg",8,13,9,12,48,9,4,2,7,6,6,29,19
"Eint Frankfurt",9,13,6,15,45,8,5,4,2,5,10,28,17
"Hertha BSC",10,11,8,15,41,6,5,3,5,8,7,21,20
"Union Berlin",11,12,5,17,41,8,4,3,2,6,11,27,14
"Schalke 04",12,9,12,13,39,5,4,7,5,5,8,22,17
"Mainz 05",13,11,4,19,37,5,6,2,2,10,9,17,20
"Köln",14,10,6,18,36,6,4,4,2,7,11,22,14
"Augsburg",15,9,9,16,36,5,4,5,4,7,9,20,16
"Werder Bremen",16,8,7,19,31,2,6,3,4,12,7,9,22
"Düsseldorf",17,6,12,16,30,4,2,6,6,7,9,18,12
"Paderborn 07",18,4,8,22,20,2,2,2,6,13,9,8,12
