"Squad","Total_Goals_Scored","Total_Goals_Conceded","Assists","Goals+Assists","Penalty_Attempts","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Augsburg",63,45,50,110,1,0,474,154,32.5,0.13,0.39,17.6,19,839,609,230,109,81,28
"Bayern Munich",32,100,23,54,4,3,312,109,34.9,0.09,0.26,17.6,12,532,376,156,57,35,22
"Dortmund",41,84,27,65,3,3,349,99,28.4,0.1,0.35,18.3,13,582,423,159,57,39,18
"Düsseldorf",67,36,53,116,5,3,463,172,37.1,0.13,0.35,17.4,21,817,530,287,110,76,34
"Eint Frankfurt",60,59,46,104,3,3,438,171,39,0.13,0.32,18.2,20,758,534,224,99,69,30
"Freiburg",47,48,32,79,4,3,600,188,31.3,0.07,0.23,18.7,16,1021,747,274,77,53,24
"Gladbach",40,66,30,70,2,1,464,156,33.6,0.08,0.25,17.4,16,824,562,262,71,49,22
"Hertha BSC",59,48,43,100,7,7,475,166,34.9,0.11,0.3,18.2,20,816,576,240,105,75,30
"Hoffenheim",53,53,37,88,8,6,491,159,32.4,0.09,0.28,17.6,12,880,624,256,91,64,27
"Köln",69,51,53,120,6,4,446,150,33.6,0.14,0.42,18.8,19,796,560,236,120,82,38
"Leverkusen",44,61,31,75,2,2,375,141,37.6,0.11,0.3,17.1,15,635,414,221,72,44,28
"Mainz 05",65,44,49,113,5,3,500,176,35.2,0.12,0.35,17.5,23,913,649,264,116,80,36
"Paderborn 07",74,37,56,128,5,4,490,180,36.7,0.14,0.38,16.2,15,885,600,285,128,94,34
"RB Leipzig",37,81,28,65,2,2,349,119,34.1,0.1,0.29,17.6,8,594,403,191,65,36,29
"Schalke 04",58,38,35,91,6,6,459,167,36.4,0.11,0.3,17.7,15,816,550,266,90,55,35
"Union Berlin",58,41,41,98,4,3,489,163,33.3,0.11,0.33,18.4,29,875,598,277,101,73,28
"Werder Bremen",69,42,53,119,1,1,500,173,34.6,0.13,0.38,17.4,11,880,627,253,115,79,36
"Wolfsburg",46,48,32,78,5,5,377,137,36.3,0.11,0.3,17.5,14,658,473,185,80,55,25
